rowid,loan_range,business_name,address,city,state,zip,naics_code,naics_desc,business_type,race_ethnicity,gender,veteran,non_profit,jobs_reported,date_approved,lender,min_value,max_value
16,a $5-10 million,"HOMEOWNERS FINANCIAL GROUP USA, LLC",16427 N SCOTTSDALE RD STE 145,SCOTTSDALE,AZ,85254,522292,Real Estate Credit,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,382,2020-04-27,Western Alliance Bank,5000000,1000000
17,a $5-10 million,HOT PIZZAS LLC,3845 Stockton Hill Rd,KINGMAN,AZ,86409,722513,Limited-Service Restaurants,Subchapter S Corporation,White,Female Owned,Non-Veteran,,500,2020-04-08,The Huntington National Bank,5000000,1000000
18,a $5-10 million,HOT TACOS INC,3845 Stockton Hill Rd,KINGMAN,AZ,86409,722513,Limited-Service Restaurants,Subchapter S Corporation,White,Female Owned,Non-Veteran,,500,2020-04-08,The Huntington National Bank,5000000,1000000
19,a $5-10 million,INT TECHNOLOGIES LLC,4862 E BASELINE RD STE 104,MESA,AZ,85206,541519,Other Computer Related Services,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,278,2020-04-15,BBVA USA,5000000,1000000
20,a $5-10 million,KALIL BOTTLING CO.,P.O. Box 26888 0.0,TUCSON,AZ,85726,312111,Soft Drink Manufacturing,Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-13,"JPMorgan Chase Bank, National Association",5000000,1000000
21,a $5-10 million,LEWIS ROCA ROTHGERBER CHRISTIE LLP,201 E. Washington St.,PHOENIX,AZ,85004,541110,Offices of Lawyers,Partnership,Unanswered,Unanswered,Unanswered,,418,2020-04-27,BMO Harris Bank National Association,5000000,1000000
22,a $5-10 million,LIFEWELL BEHAVIORAL WELLNESS,202 East Earll Dr. Ste. 200,PHOENIX,AZ,85012,813410,Civic and Social Organizations,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,2020-04-13,Bankers Trust Company,5000000,1000000
23,a $5-10 million,"MODERN INDUSTRIES, INC.",4747 E Beautiful Ln,PHOENIX,AZ,85044,333242,Semiconductor Machinery Manufacturing,Corporation,Unanswered,Unanswered,Unanswered,,478,2020-04-08,"Zions Bank, A Division of",5000000,1000000
24,a $5-10 million,MOON VALLEY NURSERY FARM HOLDINGS LLC,19820 N 7TH ST STE 260,PHOENIX,AZ,85024,111421,Nursery and Tree Production,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,319,2020-04-16,"Zions Bank, A Division of",5000000,1000000
25,a $5-10 million,"MORRISON, EKRE & BART MANAGEMENT SERVICES, INC.",120 E CONGRESS ST,TUCSON,AZ,85701,531110,Lessors of Residential Buildings and Dwellings,Corporation,Unanswered,Male Owned,Unanswered,,500,2020-04-27,Metro Phoenix Bank,5000000,1000000
26,a $5-10 million,"MT. GRAHAM REGIONAL MEDICAL CENTER, INC.",1600 S. 20th Avenue,SAFFORD,AZ,85546,622110,General Medical and Surgical Hospitals,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,381,2020-04-15,"Zions Bank, A Division of",5000000,1000000
27,a $5-10 million,NAVAJO TRIBAL UTILITY AUTHORITY,PO Box 170,FORT DEFIANCE,AZ,86504,221122,Electric Power Distribution,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500,2020-04-11,Great Western Bank,5000000,1000000
28,a $5-10 million,"NEXTIVA, INC.",8880 E CHAPPARAL RD SUITE 300,SCOTTSDALE,AZ,85250,517311,Wired Telecommunications Carriers,Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-12,Arizona Bank & Trust,5000000,1000000
29,a $5-10 million,"ON Q FINANCIAL, INC.","615 S. River Dr., Ste. 170",TEMPE,AZ,85281,522390,Other Activities Related to Credit Intermediation,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,481,2020-04-28,MidFirst Bank,5000000,1000000
30,a $5-10 million,"OREGANO'S PIZZA BISTRO, INC.",8300 N HAYDEN RD STE A207,SCOTTSDALE,AZ,85258,722511,Full-Service Restaurants,Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-10,BBVA USA,5000000,1000000
31,a $5-10 million,ORTHOPEDIC SPECIALISTS OF NORTH AMERICA PLLC,4222 E THOMAS RD STE 250,PHOENIX,AZ,85018,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-28,"BOKF, National Association",5000000,1000000
32,a $5-10 million,"P.F. CHANG'S CHINA BISTRO, INC.",8377 E HARTFORD DR Ste 200,SCOTTSDALE,AZ,85255,722511,Full-Service Restaurants,Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-14,"Newtek Small Business Finance, Inc.",5000000,1000000
33,a $5-10 million,"PAUL JOHNSON DRYWALL, INC.",1620 WILLOW CREEK RD,PRESCOTT,AZ,86301,238310,Drywall and Insulation Contractors,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,200,2020-04-04,"BOKF, National Association",5000000,1000000
34,a $5-10 million,PLEXUS WORLDWIDE LLC,15649 GREENWAY HAYDEN LOOP,SCOTTSDALE,AZ,85260,423110,Automobile and Other Motor Vehicle Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,250,2020-04-04,BBVA USA,5000000,1000000
35,a $5-10 million,"PUEBLO MECHANICAL AND CONTROLS, LLC",6771 E OUTLOOK DR,TUCSON,AZ,85756,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,480,2020-04-27,Commerce Bank of Arizona,5000000,1000000
36,a $5-10 million,RANGO INC,4215 E McDowell Rd,MESA,AZ,85215,238990,All Other Specialty Trade Contractors,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,420,2020-04-13,"MetaBank, National Association",5000000,1000000
37,a $5-10 million,"ROMULUS RESTAURANTS, LLC",1048 n 44th street suite 210,PHOENIX,AZ,85008,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-05,"Lake Forest Bank & Trust Company, National Association",5000000,1000000
38,a $5-10 million,"SDB, INC.",1001 S Edward Dr,TEMPE,AZ,85281,236220,Commercial and Institutional Building Construction,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,250,2020-04-04,"BOKF, National Association",5000000,1000000
39,a $5-10 million,"SDI SERVICES, LLC",9700 N 91st St. STE C200,SCOTTSDALE,AZ,85258,621512,Diagnostic Imaging Centers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,250,2020-04-04,"BOKF, National Association",5000000,1000000
40,a $5-10 million,SERRATO CORPORATION,135 COUNCIL ST W,TUCSON,AZ,85701,611519,Other Technical and Trade Schools,Corporation,Unanswered,Male Owned,Veteran,,500,2020-04-29,"U.S. Bank, National Association",5000000,1000000
41,a $5-10 million,"SFE HOLDINGS, LLC",9366 East Raintree Drive,SCOTTSDALE,AZ,85260,722310,Food Service Contractors,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-10,The Huntington National Bank,5000000,1000000
42,a $5-10 million,SHARED STAFFING SERVICES LLC,14605 North 73rd St,SCOTTSDALE,AZ,85260,561320,Temporary Help Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,449,2020-04-29,"Bank of America, National Association",5000000,1000000
43,a $5-10 million,"SMI IMAGING, LLC",6900 E Camelback Rd,SCOTTSDALE,AZ,85251,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-28,"Newtek Small Business Finance, Inc.",5000000,1000000
44,a $5-10 million,"STARCORP, LLC","20 E Thomas Rd., Suite 2200",PHOENIX,AZ,85012,722513,Limited-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-04,Western Alliance Bank,5000000,1000000
45,a $5-10 million,"STINE ENTERPRISES, INC.",10851 BLACK CANYON HWY #850,PHOENIX,AZ,85029,722513,Limited-Service Restaurants,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,2020-04-06,Western Alliance Bank,5000000,1000000
46,a $5-10 million,SUN VALLEY MASONRY INC,10828 N. Cave Creek Road,PHOENIX,AZ,85020,238140,Masonry Contractors,Corporation,Unanswered,Unanswered,Unanswered,,0,2020-08-06,"UMB Bank, National Association",5000000,1000000
47,a $5-10 million,TIFFANY & BOSCO P.A.,2525 E CAMELBACK RD,PHOENIX,AZ,85016,541110,Offices of Lawyers,Professional Association,Unanswered,Male Owned,Unanswered,,259,2020-04-10,First Western Trust Bank,5000000,1000000
48,a $5-10 million,TOTAL TRANSIT INC.,6421 E. LAFAYETTE BLVD,SCOTTSDALE,AZ,85251,485111,Mixed Mode Transit Systems,Corporation,White,Female Owned,Non-Veteran,,485,2020-04-09,East West Bank,5000000,1000000
49,a $5-10 million,"UPWARD PROJECTS HOLDINGS, LLC",3443 N CENTRAL AVE,PHOENIX,AZ,85012,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-06,Western Alliance Bank,5000000,1000000
50,a $5-10 million,"US TRADES, L.L.C.",7100 E Cave Creek Rd Suite 118,CAVE CREEK,AZ,85331,561320,Temporary Help Services,Corporation,White,Male Owned,Non-Veteran,,330,2020-04-09,"PNC Bank, National Association",5000000,1000000
51,a $5-10 million,"V.I.P. MORTGAGE, INC.",9921 E VIA DE VENTURA,SCOTTSDALE,AZ,85258,522292,Real Estate Credit,Corporation,Unanswered,Unanswered,Unanswered,,441,2020-04-09,Merchants Bank of Indiana,5000000,1000000
52,a $5-10 million,VINCENTBENJAMIN GROUP LLC,2415 E Camelback Rd Ste 1000,PHOENIX,AZ,85016,561311,Employment Placement Agencies,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-15,CrossFirst Bank,5000000,1000000
53,a $5-10 million,WESTERN INDUSTRIAL RESOURCES CORP,3640 S. Cactus Rd.,APACHE JUNCTION,AZ,85119,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,372,2020-04-11,BMO Harris Bank National Association,5000000,1000000
54,b $2-5 million,"360 PT MANAGEMENT, LLC",1076 W CHANDLER BLVD,CHANDLER,AZ,85224,561110,Office Administrative Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,156,2020-04-09,Western Alliance Bank,2000000,5000000
55,b $2-5 million,"A NEW LEAF, INC.",868 E University Dr,MESA,AZ,85203,624410,Child Day Care Services,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,487,2020-04-09,MidFirst Bank,2000000,5000000
56,b $2-5 million,"A.G.K. RESTAURANTS, INC",5016 N 6TH ST STE A,PHOENIX,AZ,85012,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,2020-04-08,BMO Harris Bank National Association,2000000,5000000
57,b $2-5 million,"A360 HOLDINGS, LLC",18394 N. 97TH PL,SCOTTSDALE,AZ,85255,541199,All Other Legal Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,203,2020-04-08,CIBC Bank USA,2000000,5000000
58,b $2-5 million,"AAM, LLC",1600 W. Broadway Rd Ste 200,TEMPLE,AZ,85282,541611,Administrative Management and General Management Consulting Services,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,316,2020-04-27,"OneWest Bank, A Division of",2000000,5000000
59,b $2-5 million,"AB STAFFING SOLUTIONS, LLC",3451 S. Mercy Road,GILBERT,AZ,85297,561320,Temporary Help Services,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,350,2020-04-14,"Washington Federal Bank, National Association",2000000,5000000
60,b $2-5 million,"ABENGOA NORTH AMERICA, LLC",3030 N. Central Avenue,PHOENIX,AZ,85012,541990,"All Other Professional, Scientific, and Technical Services",Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,222,2020-04-28,"U.S. Bank, National Association",2000000,5000000
61,b $2-5 million,ACADEMY OF MATHEMATICS AND SCIENCE SOUTH INC,3448 N 1st Ave,TUCSON,AZ,85719,611110,Elementary and Secondary Schools,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,343,2020-05-03,"Zions Bank, A Division of",2000000,5000000
62,b $2-5 million,ACCEL,10251 N 35th Ave,PHOENIX,AZ,85051,611110,Elementary and Secondary Schools,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,319,2020-04-13,BBVA USA,2000000,5000000
63,b $2-5 million,"ACCELERATE DIAGNOSTICS, INC.","3950 South Country Club, Suite 470",TUCSON,AZ,85714,621511,Medical Laboratories,Corporation,Unanswered,Unanswered,Unanswered,,237,2020-04-14,"Zions Bank, A Division of",2000000,5000000
64,b $2-5 million,"ACE ASPHALT OF ARIZONA, INC",3030 S 7TH ST,PHOENIX,AZ,85040,238990,All Other Specialty Trade Contractors,Corporation,Unanswered,Unanswered,Unanswered,,353,2020-04-07,"PNC Bank, National Association",2000000,5000000
65,b $2-5 million,ACSM INC.,2430 W MISSION LN Suite 1,PHOENIX,AZ,85021,561110,Office Administrative Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,200,2020-04-04,"BOKF, National Association",2000000,5000000
66,b $2-5 million,ADVANCED REIMBURSEMENT SOLUTIONS LLC,8465 N Pima Rd Ste 200,SCOTTSDALE,AZ,85258,541219,Other Accounting Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,250,2020-05-01,"JPMorgan Chase Bank, National Association",2000000,5000000
67,b $2-5 million,"AESTHETIC PHYSICIANS, P.C.",8525 East Pinnacle Peak Road,SCOTTSDALE,AZ,85255,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,108,2020-04-14,KeyBank National Association,2000000,5000000
68,b $2-5 million,"ALERACARE HOLDINGS, LLC",4045 E Bell Rd Ste 163,PHOENIX,AZ,85032,446110,Pharmacies and Drug Stores,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,118,2020-04-14,"PNC Bank, National Association",2000000,5000000
69,b $2-5 million,ALLEGIANT HEALTHCARE OF PHOENIX LLC,1880 E. VAN BUREN ST,PHOENIX,AZ,85006,623312,Assisted Living Facilities for the Elderly,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,176,2020-04-28,First Fidelity Bank,2000000,5000000
70,b $2-5 million,"ALLEGIANT HEALTHCARE WEST, LLC",3120 East Broadway,MESA,AZ,85204,623110,Nursing Care Facilities (Skilled Nursing Facilities),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,142,2020-04-27,CIBC Bank USA,2000000,5000000
71,b $2-5 million,AMERICA ROOFING LLC,1005 S 30th Ave,PHOENIX,AZ,85009,238160,Roofing Contractors,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,315,2020-04-10,BBVA USA,2000000,5000000
72,b $2-5 million,"ANDERSON SECURITY AGENCY, LTD",2555 W. MORNINGSIDE DR,PHOENIX,AZ,85023,561612,Security Guards and Patrol Services,Corporation,White,Male Owned,Non-Veteran,,463,2020-04-06,First Fidelity Bank,2000000,5000000
73,b $2-5 million,"APACHE BEHAVIORAL HEALTH SERVICES, INC.",249 W Ponderosa St,WHITERIVER,AZ,85941,621420,Outpatient Mental Health and Substance Abuse Centers,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,186,2020-05-03,"Newtek Small Business Finance, Inc.",2000000,5000000
74,b $2-5 million,ARCADIA MANAGEMENT GROUP INC,3550 N CENTRAL AVE SUITE 400,PHOENIX,AZ,85012,531312,Nonresidential Property Managers,Corporation,Unanswered,Unanswered,Unanswered,,,2020-04-09,Bankers Trust Company,2000000,5000000
75,b $2-5 million,"ARIZONA ARTHRITIS & RHUEMATOLOGY ASSOCIATES, P.C.",4550 E BELL RD Suite 172,PHOENIX,AZ,85032,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,246,2020-04-15,Bell Bank,2000000,5000000
76,b $2-5 million,"ARIZONA CENTER FOR HEMATOLOGY AND ONCOLOGY, PLC",8283 N Hayden Road #155,SCOTTSDALE,AZ,85258,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,386,2020-04-15,"JPMorgan Chase Bank, National Association",2000000,5000000
77,b $2-5 million,ARIZONA CENTER FOR NATURE CONSERVATION,455 North Galvin Parkway,PHOENIX,AZ,85008,712130,Zoos and Botanical Gardens,Corporation,Unanswered,Unanswered,Unanswered,,443,2020-04-10,BMO Harris Bank National Association,2000000,5000000
78,b $2-5 million,"ARIZONA FASTENERS, CORP.",3435 E ATLANTA AVE,PHOENIX,AZ,85040,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,186,2020-04-06,Johnson Bank,2000000,5000000
79,b $2-5 million,ARIZONA MATERIALS LLC,3636 S 43rd Ave,PHOENIX,AZ,85009,327320,Ready-Mix Concrete Manufacturing,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,332,2020-04-11,MidFirst Bank,2000000,5000000
80,b $2-5 million,ARIZONA OBGYM AFFILIATES PC,1661 E CAMELBACK RD,PHOENIX,AZ,85016,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Male Owned,Unanswered,,261,2020-04-27,First Western Trust Bank,2000000,5000000
81,b $2-5 million,ARIZONA PARTSMASTER INC,7125 W Sherman St,PHOENIX,AZ,85043,444190,Other Building Material Dealers,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,186,2020-04-07,"Zions Bank, A Division of",2000000,5000000
82,b $2-5 million,AROK INC.,2819 W GROVERS AVE,PHOENIX,AZ,85053,238310,Drywall and Insulation Contractors,Corporation,Unanswered,Unanswered,Unanswered,,243,2020-04-05,"BOKF, National Association",2000000,5000000
83,b $2-5 million,ASHTON TIFFANY LLC,333 E. OSBORN RD Ste. 300,PHOENIX,AZ,85012,524298,All Other Insurance Related Activities,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,187,2020-04-06,First Fidelity Bank,2000000,5000000
84,b $2-5 million,ASSOCIATED RETINA CONSULTANTS LTD,1750 E Glendale Ave,PHOENIX,AZ,85020,621111,Offices of Physicians (except Mental Health Specialists),Corporation,Unanswered,Unanswered,Unanswered,,145,2020-05-03,"Bank of America, National Association",2000000,5000000
85,b $2-5 million,"ATLAS HEALTHCARE PARTNERS, LLC",10554 E Morning Star Dr,SCOTTSDALE,AZ,85255,621999,All Other Miscellaneous Ambulatory Health Care Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,279,2020-05-01,"JPMorgan Chase Bank, National Association",2000000,5000000
86,b $2-5 million,ATRIUM FINANCE II LP,2398 E CAMELBACK ROAD STE 1000,PHOENIX,AZ,85016,721110,Hotels (except Casino Hotels) and Motels,Partnership,Unanswered,Unanswered,Unanswered,,0,2020-06-17,"Wells Fargo Bank, National Association",2000000,5000000
87,b $2-5 million,"AUSTIN ELECTRIC, LLC",1418 N ELISEO C FELIX JR WAY,AVONDALE,AZ,85323,238210,Electrical Contractors and Other Wiring Installation Contractors,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,279,2020-04-08,Arizona Bank & Trust,2000000,5000000
88,b $2-5 million,"B&B PAYS, INC.",9319 N. 94th Way Suite 300,SCOTTSDALE,AZ,85258,811191,Automotive Oil Change and Lubrication Shops,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,200,2020-04-13,"Zions Bank, A Division of",2000000,5000000
89,b $2-5 million,"B&F CONTRACTING, INC.",11011 N  23RD AVE,PHOENIX,AZ,85029,237110,Water and Sewer Line and Related Structures Construction,Corporation,Unanswered,Male Owned,Non-Veteran,,226,2020-04-09,Johnson Bank,2000000,5000000
90,b $2-5 million,BADLANDS POWER FUELS LLC,6720 N SCOTTSDALE RD SUITE 190,PARADISE VALLEY,AZ,85253,562910,Remediation Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,359,2020-04-28,First International Bank & Trust,2000000,5000000
91,b $2-5 million,"BANKER INDUSTRIES, INC.",111 S. 56th St,CHANDLER,AZ,85226,238310,Drywall and Insulation Contractors,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,2020-04-06,Western Alliance Bank,2000000,5000000
92,b $2-5 million,BARNETT/TAYLOR RESTAURANTS GOODYEAR INC.,650 N 99TH AVE STE 108,AVONDALE,AZ,85323,722513,Limited-Service Restaurants,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,2020-04-07,Western Alliance Bank,2000000,5000000
93,b $2-5 million,BARRETT FINANCIAL GROUP LLC,2314 S Val Vista Drive Suite 201,GILBERT,AZ,85295,522310,Mortgage and Nonmortgage Loan Brokers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,111,2020-04-16,"Flagstar Bank, FSB",2000000,5000000
94,b $2-5 million,BEACHFLEISCHMAN PC,198 RIVER RD,TUCSON,AZ,85718,541211,Offices of Certified Public Accountants,Corporation,Unanswered,Unanswered,Unanswered,,148,2020-04-09,Western Alliance Bank,2000000,5000000
95,b $2-5 million,"BELL-ARROW AUTOMOTIVE, INC.",18555 N Scottsdale Rd. 0.0,SCOTTSDALE,AZ,85255,441110,New Car Dealers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,175,2020-04-09,"JPMorgan Chase Bank, National Association",2000000,5000000
96,b $2-5 million,"BILL LUKE CHRYSLER JEEP & DODGE, INC.",2425 W CAMELBACK RD,PHOENIX,AZ,85015,441110,New Car Dealers,Corporation,Unanswered,Unanswered,Unanswered,,371,2020-04-07,BBVA USA,2000000,5000000
97,b $2-5 million,BINGHAM EQUIPMENT COMPANY,1655 COUNTRY CLUB DR,MESA,AZ,85210,423830,Industrial Machinery and Equipment Merchant Wholesalers,Corporation,Unanswered,Unanswered,Unanswered,,190,2020-04-06,"BOKF, National Association",2000000,5000000
98,b $2-5 million,BIRD AQUISITIONS LLC,530 W DEER VALLEY RD,PHOENIX,AZ,85027,611512,Flight Training,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,278,2020-04-07,FMS Bank,2000000,5000000
99,b $2-5 million,BISBEE HOSPITAL ASSOCIATION,101 Cole Avenue,BISBEE,AZ,85603,622110,General Medical and Surgical Hospitals,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,253,2020-04-11,"Zions Bank, A Division of",2000000,5000000
100,b $2-5 million,"BLUE BUCKET GROUP I, LLC",7949 E Acoma Drive #100,SCOTTSDALE,AZ,85260,448190,Other Clothing Stores,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,468,2020-04-07,Alliance Bank,2000000,5000000
101,b $2-5 million,"BODY SCULPT INTL, LLC",8525 E Pinnacle Peak Rd #101,SCOTTSDALE,AZ,85255,621493,Freestanding Ambulatory Surgical and Emergency Centers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,200,2020-04-11,KeyBank National Association,2000000,5000000
102,b $2-5 million,BONNIE SUE MILLER,8687 VIA DE VENTURA #113,SCOTTSDALE,AZ,85258,488999,All Other Support Activities for Transportation,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,418,2020-04-13,"Sunflower Bank, National Association",2000000,5000000
