license_id	status	business_name	business_address	business_city	business_state	business_zip	last_name	first_name	phone	owner	expires_txt	issued_txt	county	license_type_code	license_type_desc	agent_last	agent_first
010070001675	Active	CARIOCA SHELL #88	8810 S HARDY Drive	TEMPE	Arizona	85284	HOWARD EVERETT MAGEE		4807850680	CARIOCA COMPANY	12/31/2019	07/11/2018	Maricopa	010	Beer & wine store	MAGEE	HOWARD
010070001682	Active	QUIKTRIP #484	9541  W OLIVE Avenue	PEORIA	Arizona	85345	PERRY CHARLES HUELLMANTEL		4809212800	QUIKTRIP CORPORATION	12/31/2019	07/11/2018	Maricopa	010	Beer & wine store	HUELLMANTEL	PERRY
010070001769	Active	CIRCLE K STORE #2741626	6691 W GREENWAY Road	GLENDALE	Arizona	85306	KIM KENNETH KWIATKOWSKI		6233341510	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001772	Active	CIRCLE K STORE #2741628	1111 N 67TH Avenue	PHOENIX	Arizona	85043	KIM KENNETH KWIATKOWSKI		6029074507	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001773	Active	CIRCLE K STORE #2741655	5110 W BASELINE Road	LAVEEN	Arizona	85339	KIM KENNETH KWIATKOWSKI		6022378572	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001774	Active	CIRCLE K STORE #2741622	2350 E BASELINE Road	PHOENIX	Arizona	85042	KIM KENNETH KWIATKOWSKI		6022685008	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001775	Active	CIRCLE K STORE #2741612	5850 W MCDOWELL Road	PHOENIX	Arizona	85035	KIM KENNETH KWIATKOWSKI		6022728184	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001776	Active	CIRCLE K STORE #2741635	3980 E MCDOWELL Road	PHOENIX	Arizona	85008	KIM KENNETH KWIATKOWSKI		6022310811	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001777	Active	CIRCLE K STORE #2741639	2575 W SONORAN DESERT Drive	PHOENIX	Arizona	85085	KIM KENNETH KWIATKOWSKI		6025823000	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001778	Active	CIRCLE K STORE #2741652	5049 W BUCKEYE Road	PHOENIX	Arizona	85043	KIM KENNETH KWIATKOWSKI		6022785088	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001781	Active	CIRCLE K STORE #2741603	5205 E MCKELLIPS Road	MESA	Arizona	85215	KIM KENNETH KWIATKOWSKI		4808305474	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001782	Active	CIRCLE K STORE #2741615	2754 N POWER Road	MESA	Arizona	85214	KIM KENNETH KWIATKOWSKI		4809854346	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001783	Active	CIRCLE K STORE #2741707	2011 S ELLSWORTH Road	MESA	Arizona	85209	KIM KENNETH KWIATKOWSKI		4809864100	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001784	Active	CIRCLE K STORE #2741676	809 N DOBSON Road	MESA	Arizona	85201	KIM KENNETH KWIATKOWSKI		4808336221	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001785	Active	CIRCLE K STORE #2741630	401 S ELLSWORTH	MESA	Arizona	85208	KIM KENNETH KWIATKOWSKI		4803802449	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001786	Active	CIRCLE K STORE #2741621	5158 E UNIVERSITY	MESA	Arizona	85205	KIM KENNETH KWIATKOWSKI		4809850775	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001797	Active	CIRCLE K STORE #2741711	2865 N SCOTTSDALE Road	SCOTTSDALE	Arizona	85257	KIM KENNETH KWIATKOWSKI		4809470374	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001798	Active	CIRCLE K STORE #2741642	7165 S VAL VISTA Drive	GILBERT	Arizona	85298	KIM KENNETH KWIATKOWSKI		4808959244	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001800	Active	CIRCLE K STORE #2741601	1611 E GUADALUPE Road	GILBERT	Arizona	85234	KIM KENNETH KWIATKOWSKI		4805075500	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001801	Active	CIRCLE K STORE #2741653	7550 S RURAL Road	TEMPE	Arizona	85283	KIM KENNETH KWIATKOWSKI		4808393415	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001802	Active	CIRCLE K STORE #2741702	2955 E RIGGS Road	CHANDLER	Arizona	85249	KIM KENNETH KWIATKOWSKI		4808832052	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001804	Active	CIRCLE K STORE #2741641	13908 W BELL Road	SURPRISE	Arizona	85374	KIM KENNETH KWIATKOWSKI		6239754905	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001805	Active	CIRCLE K STORE #2741712	14559 W GRAND Avenue	SURPRISE	Arizona	85374	KIM KENNETH KWIATKOWSKI		6235561824	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001806	Active	CIRCLE K STORE #2741713	16794 W BELL Road	SURPRISE	Arizona	85374	KIM KENNETH KWIATKOWSKI		6235560946	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001808	Active	CIRCLE K STORE #2741675	1025 N 99TH Avenue	TOLLESON	Arizona	85353	KIM KENNETH KWIATKOWSKI		6239369777	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001809	Active	CIRCLE K STORE #2741705	13012 W INDIAN SCHOOL Road	LITCHFIELD PARK	Arizona	85340	KIM KENNETH KWIATKOWSKI		6235356611	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001810	Active	CIRCLE K STORE #2741631	8270 W CACTUS Road	PEORIA	Arizona	85381	KIM KENNETH KWIATKOWSKI		6234871886	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001811	Active	CIRCLE K STORE #2741683	28460 N VISTANCIA Boulevard	PEORIA	Arizona	85383	KIM KENNETH KWIATKOWSKI		6234554100	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001812	Active	CIRCLE K STORE #2741669	13777 N DYSART Road	EL MIRAGE	Arizona	85335	KIM KENNETH KWIATKOWSKI		6239330135	CIRCLE K STORES INC	12/31/2019	07/20/2018	Maricopa	010	Beer & wine store	KWIATKOWSKI	KIM
010070001859	Active	DOLLAR DAYS STORE	5030 W MCDOWELL  Road #25	PHOENIX	Arizona	85035	SATWINDER SINGH BANSAL		6023526610	A S I WIRELESS LLC	12/31/2019	07/24/2018	Maricopa	010	Beer & wine store	BANSAL	SATWINDER
010070002011	Active	JOJO MINI MART	6532 W INDIAN SCHOOL Road	PHOENIX	Arizona	85033	TEVAN AWETAR ISAAC		6238466268	JOJO MINI MART	12/31/2019	08/01/2018	Maricopa	010	Beer & wine store	ISAAC	TEVAN
010070002100	Active	VALLEY FOOD MARKET	50903 W HIGHWAY 60 AGUILA AZ 85320				QUACH	KIA	9286854845		12/31/2019	08/09/2018	Maricopa	010	Beer & wine store		
010070002137	Active	D' S MARKET	3640 N MILLER Road	SCOTTSDALE	Arizona	85251	SHANA MARY MURAD		4804815040	GMSCS LLC	12/31/2019	08/13/2018	Maricopa	010	Beer & wine store	MURAD	SHANA
010070002378	Active	SWEET JANE MARKET	2760 E MAIN Street #104	MESA	Arizona	85213	RUSS MOORE		4407316034	WINGFOOT MINI MART LLC	12/31/2019	08/27/2018	Maricopa	010	Beer & wine store	MOORE	RUSSELL
010070002464	Active	QUICK STOP	7938 N 59TH Avenue	GLENDALE	Arizona	85301	LAUREN KAY MERRETT		6239312077	LOHIT ENTERPRISES	12/31/2019	09/04/2018	Maricopa	010	Beer & wine store	MERRETT	LAUREN
010070002500	Active	OAK STREET MINI MART	7123 E OAK Street	SCOTTSDALE	Arizona	85257	EMAD ABED EL MAJID AWAD		4805005072	OAK ST CONVENIENCE INC	12/31/2019	09/06/2018	Maricopa	010	Beer & wine store	AWAD	EMAD
010070002611	Active	SARATOGA RIDGE MARKETPLACE	1460 E BELL Road	PHOENIX	Arizona	85022	PHULJIT SINGH		4804351904	G&V INVESTMENTS SARATOGA LLC	12/31/2019	09/11/2018	Maricopa	010	Beer & wine store	SINGH	PHULJIT
010070002654	Active	PV CARWASH	12621 N PARADISE VILLAGE PKWY W SUITE 200	PHOENIX	Arizona	85032	ACU MOHAMMED KADER		6024347600	DOKN LLC	12/31/2019	09/13/2018	Maricopa	010	Beer & wine store	KADER	ACU
010070002658	Cancelled	76 GAS STATION	1045 N 24TH Street	PHOENIX	Arizona	85008	DAVID ISAAC		6026290865	DPQ PLUS LLP	12/31/2019	09/13/2018	Maricopa	010	Beer & wine store	ISAAC	DAVID
010070002665	Active	SUPER CARNICERIA EL GRAN GALLITO	6311 W MARYLAND Avenue	GLENDALE	Arizona	85301	PETER HENRY SCHELSTRAETE		6239301630	SUPER CARNICERIA EL GRAN GALLITO LLC	12/31/2019	09/13/2018	Maricopa	010	Beer & wine store	SCHELSTRAETE	PETER
010070002700	Active	2 SONS FOOD MART LLC	8941 N CENTRAL Avenue	PHOENIX	Arizona	85020	MAQSOOD SAEED		6023346550	2 SONS FOOD MART LLC	12/31/2019	09/17/2018	Maricopa	010	Beer & wine store	SAEED	MAQSOOD
010070002793	Active	GIFTS TO GO	11340 W BELL Road STE 128	SURPRISE	Arizona	85378	THERESA JUNE MORSE		6024030646	GIFTS TO GO LLC	12/31/2019	09/21/2018	Maricopa	010	Beer & wine store	MORSE	THERESA
010070002864	Active	7-ELEVEN #21821C	815 S ALMA SCHOOL Road	MESA	Arizona	85210	VANEET SAPRA		4808338626	SAPRA INVESTMENT LLC	12/31/2019	09/27/2018	Maricopa	010	Beer & wine store	SAPRA	VANEET
010070002972	Active	DOLLAR GENERAL STORE #19476	520 N 35TH Avenue	PHOENIX	Arizona	85009	SEVERAL - SEE CASE NOTES		6022697902	DG RETAIL LLC	12/31/2019	10/04/2018	Maricopa	010	Beer & wine store	KELLIHER	KATHRYN
010070003241	Cancelled	7-ELEVEN #25730J	1601 E SOUTHERN Avenue	PHOENIX	Arizona	85040	NICHOLAS CARL GUTTILLA		6022687631	7-ELEVEN INC	12/31/2019	10/18/2018	Maricopa	010	Beer & wine store	GUTTILLA	NICHOLAS
010070003630	Active	DELGADO'S HARDWARE & CONVENIENCE STORE	32434 N WALNUT Street	WITTMANN	Arizona	85361	THERESA JUNE MORSE		6235830044	DELGADO'S HARDWARE & CONVENIENCE STORE LLC	12/31/2019	11/05/2018	Maricopa	010	Beer & wine store	MORSE	THERESA
010070003667	Active	HILTON GARDEN INN	11460 W HILTON Way	AVONDALE	Arizona	85323	ANDREA  DAHLMANLEWKOWITZ		6238823351	MCRT2 ARIZONA BEVERAGE MANAGEMENT LLC	12/31/2019	11/07/2018	Maricopa	010	Beer & wine store	LEWKOWITZ	ANDREA
010070003800	Active	ROBLE'S MEAT SHOP-CARNICERIA	4360 W OLIVE Avenue	GLENDALE	Arizona	85302	URIARTE	HILDA	7708958008		12/31/2019	11/19/2018	Maricopa	010	Beer & wine store		
010070003844	Active	KORY MARKET	1701 S CENTRAL Avenue	PHOENIX	Arizona	85004	GARCIA GONZALEZ	MELISSA	6025511418		12/31/2019	11/23/2018	Maricopa	010	Beer & wine store		
010070003907	Cancelled	MAVERIK	784 W WICKENBURG Way	WICKENBURG	Arizona	85390	LAUREN MERRETT		8016733746	MAVERIK INC	12/31/2019	11/30/2018	Maricopa	010	Beer & wine store	MERRETT	LAUREN
010070003914	Active	DODGE CITY MARKET #2	2101 W ADAMS Street	PHOENIX	Arizona	85009	FADI KAMIL ALMANSOR		4802971635	ALMANSOR SON LLC	12/31/2019	12/03/2018	Maricopa	010	Beer & wine store	ALMANSOR	FADI
010070004006	Cancelled	27TH AVE MARKET	2720 W INDIAN SCHOOL Road	PHOENIX	Arizona	85017	ELIZABETH ALVA		7605227744	LEGENDZ LLC	12/31/2019	12/10/2018	Maricopa	010	Beer & wine store	ALVA	ELIZABETH
010070004007	Active	27 SHELL	4102 N 27TH Avenue	PHOENIX	Arizona	85017	ANDREA DAHLMAN LEWKOWITZ		6022748201	RELIANCE PETROLEUM LLC	12/31/2019	12/10/2018	Maricopa	010	Beer & wine store	LEWKOWITZ	ANDREA
010070004023	Active	FIRST STOP SMOKE SHOP	2610 W BASELINE Road #100	PHOENIX	Arizona	85041	DAVID WILLIAM PLATT JR		6022687505	CD ALL LLC	12/31/2019	12/11/2018	Maricopa	010	Beer & wine store	PLATT JR	DAVID
010070004229	Active	CHAVELAS	5630 W CAMELBACK Road STE 120	GLENDALE	Arizona	85301	KAHALA NAOLA GADDIS		6234553574	KAHALA ENTERPRISES LLC	12/31/2019	01/04/2019	Maricopa	010	Beer & wine store	GADDIS	KAHALA
010070004240	Active	MARKITT	6031 N 67TH Avenue #1	GLENDALE	Arizona	85301	HUSAM N ELIA		6234767104	XFOX KANKA LLC	12/31/2019	01/04/2019	Maricopa	010	Beer & wine store	ELIA	HUSAM
010070004279	Active	SMOKE ZONE BEER & WINE	18403 N 19TH Avenue	PHOENIX	Arizona	85023	MARTEL EMANUEL DELLY		6025481265	SMOKE ZONE BEER AND WINE LLC	12/31/2019	01/08/2019	Maricopa	010	Beer & wine store	DELLY	MARTEL
010070004349	Active	KING'S MINI MART	4150 N 35TH Avenue	PHOENIX	Arizona	85017	JEFFREY CRAIG MILLER		6023682204	RIDHI SIDHI ENTERPRISE LLC	12/31/2019	01/11/2019	Maricopa	010	Beer & wine store	MILLER	JEFFREY
010070004413	Active	SPEEDWAY FOOD MART	5201 S 7TH Street	PHOENIX	Arizona	85040	GAGANDEEP SINGH BOLA		6022684109	BOLA LLC	12/31/2019	01/17/2019	Maricopa	010	Beer & wine store	BOLA	GAGANDEEP
010070004514	Inactive	QUIKTRIP #431R	1939 S MESA Drive	MESA	Arizona	85210	PERRY CHARLES HUELLMANTEL		0000000000	QUIKTRIP CORPORATION	12/31/2019	01/23/2019	Maricopa	010	Beer & wine store	HUELLMANTEL	PERRY
010070004515	Inactive	QUIKTRIP #1407	900  S WATSON Road	BUCKEYE	Arizona	85326	PERRY CHARLES HUELLMANTEL		0000000000	QUIKTRIP CORPORATION	12/31/2019	01/23/2019	Maricopa	010	Beer & wine store	HUELLMANTEL	PERRY
010070004530	Active	CARNICERIA LA SUPER	2535 E BELL Road #3	PHOENIX	Arizona	85032	MELLIE BARAJAS		6022933102	LA SUPER CARNICERIA LLC	12/31/2019	01/24/2019	Maricopa	010	Beer & wine store	BARAJAS	MELLIE
010070004619	Active	MR J'S MARKET	3202 E MCDOWELL Road	PHOENIX	Arizona	85008	SAROK OMER SHAREEF		6022750669	S & S CHILLERS LLC	12/31/2019	01/31/2019	Maricopa	010	Beer & wine store	SHAREEF	SAROK
010070004677	Active	BIG B'S MARKET	4835 N 37TH Avenue	PHOENIX	Arizona	85019	VIJAYA BHOJA SHETTY		6022835453	JOT BROTHERS LLC	12/31/2019	02/04/2019	Maricopa	010	Beer & wine store	SHETTY	VIJAYA
010070004686	Active	EDDIES CENTRAL MARKET	724 S CENTRAL Avenue	PHOENIX	Arizona	85004	SHAROKEEN ODEESH BOLIS		6022538364	NSNE ENTERPRISE LLC	12/31/2019	02/04/2019	Maricopa	010	Beer & wine store	BOLIS	SHAROKEEN
