combined_type	seqnos	calltype	responsible_company	responsible_org_type	responsible_city	responsible_state	responsible_zip	source	date_received	date_complete	description_of_incident	type_of_incident	incident_cause	incident_dtg	incident_location	location_address	location_street1	location_nearest_city	location_state	location_county	location_zip	potential_flag	distance_from_location	incident_date	incident_time	has_lat_long	fire_involved	any_evacuations	any_injuries	number_injured	any_fatalities	number_fatalities	any_damages	air_corridor_closed	waterway_closed	road_closed	media_interest	medium_desc	body_of_water	release_secured	desc_remedial_action	weather_conditions	water_supply_contaminated	additional_info	state_agency_notified	federal_agency_notified	az_incident
ALL TABLES	9317	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-02-22	1990-02-22	ACID PLANT / RUPTURED #1 PRODUCT LINE	FIXED	EQUIPMENT FAILURE	OCCURRED		AT THE DOCK		SAN MANUEL	AZ	PINAL				1990-02-21	13:20:00	N	N	N	U		U		N	N	N	N		LAND		U	THE MATERIAL WILL BE MOVED TO THE ACID NEUTRALIZATION PLANT		U	SOME OF THE MATERIAL IS UP THE CHANNEL			Y
ALL TABLES	9597	INC	HUGHES AIRCRAFT CO	PRIVATE ENTERPRISE	TUCSON	AZ	85734	UNAVAILABLE	1990-02-23	1990-02-23	DEGREASER / EQUIPMENT FAILUREFROM TRANSFORMERS THAT THEY ARE WORKING ON.	FIXED	EQUIPMENT FAILURE	OCCURRED		CONOWINGO DAM RT 1		TUCSON	AZ	PIMA				1990-02-22	21:20:00	N	N	N	U		U		N	N	N	N		AIR		U	THREE EMPLOYEES TAKEN TO THE HOSP. FOR OBSERVATION		U	SUSQUEHANNA RIVER IS NEARBY.			Y
ALL TABLES	9814	INC	SNELL AND WILMER	PRIVATE ENTERPRISE	PHEONIX	AZ	85073	UNAVAILABLE	1990-02-26	1990-02-26	UNKNOWN SOURCE / UNKNOWN CAUSE	UNKNOWN SHEEN	UNKNOWN	DISCOVERED		GATX TERMINAL DOCK #4 MIS	MILE 125	PHEONIX	AZ	MARICOPA				1990-02-26	10:06:00	N	N	N	U		U		N	N	N	N		LAND		U	INVESTIGATING THE SPILL SITE		U	TEC = 1300/PPM    TCE = 19/PPM    DEL = 11/PPM			Y
ALL TABLES	10038	INC	VAN WATERS AND ROGERS	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	UNAVAILABLE	1990-02-27	1990-02-27	55 GAL DRUM / FATIGUE OF THE DRUM	MOBILE	EQUIPMENT FAILURE	OCCURRED		HWY 278 EAST OF RTE 6		PHOENIX	AZ	MARICOPA				1990-02-27	10:00:00	N	N	N	U		U		N	N	N	N		LAND		U	USED SORBENTS TO CLEAN THE AREA AND PLACED THE CONTAMINATED SORBENTSIN OVER PACK DRUMS FOR DISPOSAL		U	CALLER WAS GIVEN GA EPD NUMBER			Y
ALL TABLES	11186	INC	FINDLY CHEMICAL DISPOSAL	PRIVATE ENTERPRISE	FONTANA	CA	92335	UNAVAILABLE	1990-03-07	1990-03-07	PCB 55 GAL METAL DRUM/POSS DUE TO METAL FATIGUE OR IMPROPER HANDLINGPINHOLE LEAK IN BOTTOM OF DRUM.	MOBILE	EQUIPMENT FAILURE	OCCURRED		SHAW AIRFORCE BASE 363 CS	STORAGE SHED AT HOSPITAL	ELOY	AZ	PINAL				1990-03-06	13:00:00	N	N	N	U		U		N	N	N	N		WATER		U	DECONTAMINATED CONCRETE AREA WITH CAUSTIC AND SORBENTS, PLACED TARPUNDER TRUCK. OVERPACKED DRUM.		U	MATERIAL WASW WASHED INTO A DRAIN LEADING TO A PUBLIC SEWER			Y
ALL TABLES	11374	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-08	1990-03-08	HOUSE EXPLODED.  IT IS UNKNOWN THE ACTUAL REASON WHY.  HOUSE IS ON A   DISTRIBUTION SYSTEM.	FIXED	EQUIPMENT FAILURE	OCCURRED		104 MEMORIAL DR.	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-03-07	13:55:00	N	N	N	U		U		N	N	N	N		WATER		U	THE MATERIAL WILL BE ALLOWED TO RUN INTO A POND, UNABLE TO NEUTRALIZE		U	CALLER SAYS THAT APPROX. 90 GAL OF TOTAL SFA WAS RELEASEDWHEN IT WILL BE RESTORED			Y
ALL TABLES	11504	INC	KEITH TRANSPORTATION CO.	PRIVATE ENTERPRISE	BAKERSFIELD	CA	93308	UNAVAILABLE	1990-03-08	1990-03-08	MATERIAL SPILLED IN ACCIDENT WHEN DRIVER DOZED OFF AND CROSSED MEDIAN,WAS TOLD BY ANOTHER EMPLOYEE THAT CHEMICALS HAD BEEN BURIED THERE	MOBILE	TRANSPORT ACCIDENT	OCCURRED		GALILO PARK	MM 137	BUCKEYE	AZ	MARICOPA				1990-03-07	03:50:00	N	N	N	U		U		N	N	N	N		LAND		U	A PRIVATE CONTRACTOR, BMS CO, OF PHEONIX, AZ, HIRED TO CLEANUP SPILL.STATE POLICE ON-SCENE.		U	CALLER SAYS THAT IT HAD BEEN AWHILE SINCE HE SAW THIS			Y
ALL TABLES	11639	INC	SOUTHWEST GAS CORPORATION	PRIVATE ENTERPRISE	CASA GRANDE	AZ	85222	UNAVAILABLE	1990-03-09	1990-03-09	"3"" DISTRIBUTION LINE / PIPELINE WAS RUPTURED DURING EXCAVATION AT THESITE."	FIXED	EQUIPMENT FAILURE	OCCURRED		NEXT TO THE PICACHO HWY		PICACHO	AZ	PINAL			0.3 MI N	1990-03-09	07:30:00	N	N	N	U		U		N	N	N	N		AIR		U	REPAIRS HAVE BEEN MADE AND SERVICE IS BEING RESTORED.SHEEN SIZE; 25 FT BY 1 MI		U	APPROX 119 CUSTOMERS LOST SERVICE FOR APPROX 6 HOURS.THIS REPORT DOES NOT MEET REQUIREMENTS FOR NOTIFICATIONS.			Y
ALL TABLES	11939	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-12	1990-03-12	RUPTURE OF THE #5 AND #6 INLET LINE PIPE COUPLING / OLD AGE	PIPELINE	EQUIPMENT FAILURE	OCCURRED		ESTATE RICHMOND CHRISTIAN	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-03-11	11:00:00	N	N	N	U		U		N	N	N	N		LAND		U	APPLIED LIME ROCK TO NEUTRALIZE  WILL DIG UP THE SOIL FOR DISPOSAL		U	SHEEN SIZE UNKNOWN			Y
ALL TABLES	12064	INC	SALT RIVER PROJECT	PUBLIC UTILITY	PHOENIX	AZ	85072	UNAVAILABLE	1990-03-12	1990-03-12	PCB CAPACITOR/LEAK IN CAPACITOR	FIXED	EQUIPMENT FAILURE	OCCURRED		NORTH SIDE OF ELK BETWEEN	HWY 98	PAIGE	AZ	COCONINO			5 MI E	1990-03-12	16:00:00	N	N	N	U		U		N					LAND			USING SORBENT AND WILL FINISH CLEAN UPS.  AREA IS SECURED						Y
ALL TABLES	12404	INC	ROBERT'S AUTOMOTIVE	PRIVATE ENTERPRISE	GLOBE	AZ		UNAVAILABLE	1990-03-14	1990-03-14	DUMPING ON SIDE OF BUILDING.FISHING VESSEL	FIXED	DUMPING	DISCOVERED		ASH ST		GLOBE	AZ	GILA				1990-02-28	12:00:00	N	N	N	U		U		N	N	N	N		WATER		U	NONE.		U	SHEEN SIZE 30 FT BY 60 FT FAINT COLORS			Y
ALL TABLES	12613	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-15	1990-03-15	NO.5 AND NO.6 INLIT LINE / RUPTURE IN THE LINE	PIPELINE	EQUIPMENT FAILURE	OCCURRED		I-44 AND ANTIRE RD.	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-03-15	07:00:00	N	N	N	U		U		N	N	N	N		LAND		U	SHUT DOWN THE LINE AND DRAINING IT   NEUTRALIZING THE AREA WITH LIMEROCK  WILL REMOVE THE SOIL		U	AMOUNT OF SPILL IS CAPACITY OF AUTOMOBILE FUEL TANK.                   DRIVER OF AUTO NOT INJURED IN SINGLE VEHICLE ACCIDENT.			Y
ALL TABLES	12806	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-16	1990-03-16	PRODUCT PIPELINE / LEAKING VALVE	PIPELINE	EQUIPMENT FAILURE	DISCOVERED		11 UNA BELLA TRAILOR PARK		SAN MANUEL	AZ	PINAL	85631			1990-03-15	16:00:00	N	N	N	U		U		N	N	N	N		LAND		U	WILL USE STAINLESS STEEL PUMPS TO PUMP SPILL INTO A NUETRALIZATION TANK		U	DRAINED MATERIAL INTO A SLUDGE POND FOR CONTAINMENT			Y
ALL TABLES	12815	INC		UNKNOWN		XX		UNAVAILABLE	1990-03-16	1990-03-16	12,000 GAL UNDERGROUND STORAGE TANK / LEAKED DUE TO UNKNOWN CAUSECALLER FEELS THAT THE SPILL OCCURRED DUE TO A CONTRACTORS HUMAN ERROR.	FIXED	UNKNOWN	DISCOVERED		MILE 722.2 OHIO RIVER	1902 WEST CACTUS RD.	PHOENIX	AZ	MARICOPA	85029			1990-03-16	08:30:00	N	N	N	U		U		N	N	N	N		SUBSURFACE		U	SECURED TANK FILLING OPS TO SECURE THE LEAK.  AREA WAS SECURED.CREWS WORKING TO DETERMINE BEST CLEANUP METHODS.		U	UNKNOWN SIZE			Y
ALL TABLES	12840	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-16	1990-03-16	INLET PIPING / RUPTURE IN LINE	PIPELINE	EQUIPMENT FAILURE	DISCOVERED		CROSS HYDROPOWER STATION	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-03-16	10:30:00	N	N	N	U		U		N	N	N	N		LAND		U	SHUT DOWN LINE / REPAIRED DEFECTIVE PIPING / NEUTRALIZED ACID WITHLIME ROCK		U	UPDATE TO REPORT NR 12613, DATED 15MAR90 - UPDATED AMOUNT OF RELEASEDQUANTITY			Y
ALL TABLES	13303	INC	USAF- LUKE AFB	FEDERAL GOVERNMENT	LUKE AFB	AZ	85309	UNAVAILABLE	1990-03-19	1990-03-19	METHANE GAS IS SEEPING UP THROUGH THE GROUND / UNKNOWN CAUSE.          THE SITE WAS PREVIOUSLY A LANDFILL IN THE 50-60'S.	AIRCRAFT	TRANSPORT ACCIDENT	OCCURRED		FRISBEE AVE.  AT AVENUE '	US HWY 60	SALOME	AZ	LA PAZ			10 MI E	1990-03-15	15:00:00	N	N	N	U		U		N	N	N	N		LAND		U	PILOT EJECTED SAFELY.  USAF CREWS INVESTIGATING ACCIDENT.  FUELSITE TO DETERMINE THE EXTENT OF THE INCIDENT.		U	AMOUNT OF FUEL RELEASED UNKNOWN.			Y
ALL TABLES	13403	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-20	1990-03-20	DEFECTIVE HEADER ON ACID LOAD TRAIN DOCKJOBS ONTO THE GROUNDS OF THEIR PROPERTY	FIXED	EQUIPMENT FAILURE	OCCURRED		4409 BAUMGARTNER	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-03-19	16:00:00	N	N	N	U		U		N	N	N	N		LAND		U	REPAIRED THE HEADER. WILL PUM THE MATERIAL OUT OF THE SLUDGE PONDAND NEUTRALIZED		U	SOME OF THE MATERIAL MAY BE ESCAPING INTO A STREAM THAT DUMPS INTO     THE MERRIMACK RIVER			Y
ALL TABLES	13483	INC	CYPRUS METALS COMPANY	PRIVATE ENTERPRISE	GREEN VALLEY	AZ	85622	UNAVAILABLE	1990-03-20	1990-03-20	STORAGE TANK (ABOVE GROUND) 1000 - 1500 GAL IN TANK/TANK RUPTUREDONTO HIM.	FIXED	EQUIPMENT FAILURE	DISCOVERED		XEROX/800 PHILLIPS RD.	ON THE SOUTH SIDE OF	GREEN VALLEY	AZ	PIMA			5 MI NE	1990-03-20	07:00:00	N	N	N	U		U		N	N	N	N		LAND		U	"MATERIAL IS CONTAINED IN AN 18"" CONCRETE BERM AND A SUMP.WILL PUMP SUMP OUT."		U	UNKNOWN QTY.  HOWEVER UNDER THE RQ.  DRIVER TREATED AND RELEASED FOR   MINOR CHEMICAL BURNS.			Y
ALL TABLES	13615	INC	TRAILSIDE GENERAL STORE	PRIVATE ENTERPRISE	LAKE HAVASU	AZ		UNAVAILABLE	1990-03-21	1990-03-21	"1 1/2"" PIPE / LEAKED DUE TO STRUCTURAL FAILURE"	PIPELINE	EQUIPMENT FAILURE	DISCOVERED		PO BOX 3911 GROVE ST		LAKE HAVASU	AZ	MOHAVE				1990-03-16	10:00:00	N	N	N	U		U		N					LAND			HITTING THE AREA WITH QUICK LIME TO REDUCE THE FLASH POINTG						Y
ALL TABLES	13823	INC	USAF- LUKE AFB	FEDERAL GOVERNMENT	LUKE AFB	AZ	85309	UNAVAILABLE	1990-03-22	1990-03-22	TANK TRUCK / VALVE ON TANK TRUCK FAILED.	MOBILE	EQUIPMENT FAILURE	OCCURRED		GILA BEND AUXILLARY FIELD	AT THE MAIN GATE	GILA BEND	AZ	MARICOPA				1990-03-22	10:00:00	N	N	N	U		U		N	N	N	N		LAND		U	BASE EMER RESP TEAM RESPONDED AND PERFORMED CLEANUPS.  SAMPLES WILL BETAKEN TO DETERMINE ENTIRE AREA OF CONTAMINATION; SOIL WILL BE EXCAVATED		U	SHEEN SIZE 2500' X 500'.			Y
ALL TABLES	14501	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-03-27	1990-03-27	PIPELINE/DRAINED ARM OF PIPELINE FOR MAINTANCE INTO STORAGE LAGOONWHICH IS NOT LINED PROPERLY.	PIPELINE	EQUIPMENT FAILURE	OCCURRED		P.O.  BOX 130 HWY 1406	AZ HWY 76	SAN MANUEL	AZ	PINAL				1990-03-26	14:45:00	N	N	N	U		U		N	N	N	N		LAND		U	ACID TO BE NEUTRALIZED.  99% OF ACID IS EXPECTED TO BE RECOVERED FROMPOND.		U	WILL CALL AZ EMERG RESPONSE.			Y
ALL TABLES	14916	INC	MAGMA COPPER COMPANY	PRIVATE ENTERPRISE	MIAMI	AZ	85539	UNAVAILABLE	1990-03-29	1990-03-29	SUMP / MAINTENANCE CREW RELEASED MATERIAL ONTO THE GROUND WHILECHANGING PUMPS	FIXED	OPERATOR ERROR	DISCOVERED		COMPANY FACILITY GULF STA	PUMP STATION	MIAMI	AZ	GILA				1990-03-16	14:30:00	N	N	N	U		U		N	N	N	N		LAND		U	CONSULTANT TAKING SAMPLES / WILL EXCAVATE AND DISPOSE OF ANYSPILLED MATERIAL.		U	CALLER INTENDS TO NOTIFY TX WC.                                        NO WATER OFF-SIGHT WAS AFFECTED			Y
ALL TABLES	15074	INC	CITIZENS UTILITY CO	PUBLIC UTILITY	NOGALES	AZ	856280280	UNAVAILABLE	1990-03-30	1990-03-30	STOVE IN RESIDENCE CAUSED A MINOR EXPLOSION	PIPELINE	EQUIPMENT FAILURE	OCCURRED		3602 TUCSON-NOGALES HWY		NOGALES	AZ	SANTA CRUZ				1990-03-29	13:10:00	N	N	N	Y	1	U		U	N	N	N		AIR		U	FIRE WAS PUT OUT		U	HOUSE OWNER WAS TREATED AND RELEASED			Y
ALL TABLES	15855	INC	US FISH AND WILDLIFE	FEDERAL GOVERNMENT	ALBUQUERQUE	NM	87103	UNAVAILABLE	1990-04-04	1990-04-04	ABOVEGROND STORAGE TANK/VANDALIZED PIPES	FIXED	OTHER	DISCOVERED		HAVASU NATIONAL WILDLIFE	REFUGE		AZ	MOHAVE				1990-04-02	08:00:00	N	N	N	U		U		N	N	N	N		WATER		U	SORBENTS APPLIED.		U	SHEEN SIZE UNKNOWN.			Y
ALL TABLES	15864	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-04-04	1990-04-04	OCCURRED WHILE DRAINING A LOADING ARM TO THE WASTE TREATMENT SYSTEM	FIXED	EQUIPMENT FAILURE	OCCURRED		ACID LOADING AREA AT THE	PLANT SITE ON ST HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-04-03	16:00:00	N	N	N	U		U		N					WATER			MATERIAL WAS TRANSFERRED TO ON SITE TREATMENT POND AND WILL BENEUTRALIZED THERE						Y
ALL TABLES	16361	INC	ROADWAY EXPRESS	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	UNAVAILABLE	1990-04-08	1990-04-08	METAL CANISTER / FOUND A PUNCTURE IN THE CANNISTER	MOBILE	UNKNOWN	DISCOVERED		M.P. 53 ON I-10		TONOPAH	AZ	MARICOPA				1990-04-08	13:00:00	N	N	N	U		U		N					LAND			USED DRY SOIL TO SOAK UP MATERIAL AND PUT IT IN A HAZMAT RECOVERYDRUM						Y
ALL TABLES	16394	INC	US PARK SERVICE	FEDERAL GOVERNMENT	PAGE	AZ	86040	UNAVAILABLE	1990-04-09	1990-04-09	GENERATOR FUEL TANKS / RUPTURED HOSE BETWEEN THE TANKS DUE TOWEATHERING	FIXED	EQUIPMENT FAILURE	OCCURRED		MAINTENANCE YARD		HALLS CROSSING	UT	SAN JUAN				1990-04-08	07:00:00	N	N	N	U		U		N					LAND			RECOVERED ABOUT 100 GALS OF LIQUID MATERIAL   REMOVED THE SOIL ANDREPLACED WITH CLEAN SOIL						Y
ALL TABLES	16520	INC	USAF- LUKE AFB	FEDERAL GOVERNMENT	LUKE AFB	AZ	85309	UNAVAILABLE	1990-04-09	1990-04-09	"8"" FUEL LINE / DURING MAINTENANCE, A JACKHAMMER RUPTURED THE FUEL LINE."	PIPELINE	OPERATOR ERROR	OCCURRED		LUKE AFB	AT THE TANK FARM	GLENDALE	AZ	MARICOPA	85309			1990-04-09	14:00:00	N	N	N	U		U		N					LAND			SECURED THE FUEL LINE; SECURING THE SPILL.  COMPANY CREWS ONSCENEEXCAVATING THE MATERIAL AND AFFECTED SOIL.						Y
ALL TABLES	16625	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-04-10	1990-04-10	OPEN DRAIN VALVE AT ACID LOADING STATION FOLLOWING MAINTANCE.	FIXED	EQUIPMENT FAILURE	OCCURRED		PO BOX M	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-04-09	16:00:00	N	N	N	U		U		N	N	N	N		LAND		U	ACID IN SLUDGE POND TO BE NEUTRALIZED IN NEUTRALIZATION PLANT.		U	WILL CALL AZ EMERGENCY RESP.			Y
ALL TABLES	16735	INC	SCHNEIDER TANK LINES	PRIVATE ENTERPRISE	GREENBAY	WI	54306	UNAVAILABLE	1990-04-11	1990-04-11	15 GAL. FIBER BARREL / DRUM TIPPED AND BROKE LATCH.	MOBILE	EQUIPMENT FAILURE	OCCURRED		I-10 IN ARIZONA	40 MILES BEFORE TRIPLE T	TUCSON	AZ	PIMA				1990-04-11	05:00:00	N	N	N	U		U		N	N	N	N		LAND		U	DRIVER PUT SAND ON IT AND PICKED IT UP.		U	.99 = LESS THAN 1GAL / TOTAL IN BARREL WAS 15 GAL BUT LESS THAN 1 GALWAS RELEASED ONTO GROUND AS DRIVER OPENED DOOR.			Y
ALL TABLES	16837	INC	GIANT REFINING TRANSPORT	PRIVATE ENTERPRISE	GALLUP	NM	87301	UNAVAILABLE	1990-04-11	1990-04-11	TANK TRUCK / FAULTY DUST COVER CAP ON PRODUCT PUMP CAUSED A SPILL OFFUEL	MOBILE	EQUIPMENT FAILURE	OCCURRED				SNOWFLAKE	AZ	NAVAJO			14 MI N	1990-04-10	13:00:00	N	N	N	U		U		N	N	N	N		LAND		U	USED A PRODUCT PUMP TO PUMP MATERIAL BACK INTO TANK.		U	DRIVER RECOVERED 550 GALLONS OF OIL.			Y
ALL TABLES	17906	INC	AMERICAN TUBE CO	PRIVATE ENTERPRISE	PHOENIX	AZ		UNAVAILABLE	1990-04-18	1990-04-18	5 GAL CAN OF MATERIAL/MATERIAL WAS IMPROPERLY STORED IN METAL CONTAINER	FIXED	EQUIPMENT FAILURE	OCCURRED		2525 N 27TH AVE		PHOENIX	AZ	MARICOPA				1990-04-18	11:00:00	N	N	N	U		U		N					WATER			RINSED MATERIAL ON THE CONCRETE INTO THE DRAIN						Y
ALL TABLES	17972	INC	MAGMA COPPER CO	PRIVATE ENTERPRISE	SAN MANUEL	AZ	85631	UNAVAILABLE	1990-04-19	1990-04-19	DRAIN DOCK / VALVE FAILURE	FIXED	EQUIPMENT FAILURE	OCCURRED		PO BOX M	HWY 76	SAN MANUEL	AZ	PINAL	85631			1990-04-18	11:02:00	N	N	N	U		U		N					UNKNOWN			THE MATERIAL WILL BE NEUTRALIZED						Y
ALL TABLES	18013	INC	CLASSIC AUTO BODY SHOP	PRIVATE ENTERPRISE	PAYSON	AZ		UNAVAILABLE	1990-04-19	1990-04-19	CALLER OBSERVED WORKERS DUMPING MATERIAL ONTO GROUND BEHIND SHOP.	FIXED	DUMPING	OCCURRED		CEDAR ST.	GROUND BEHIND SHOP	PAYSON	AZ	GILA				1990-04-12	12:00:00	N	N	N	U		U		N	N	N	N		LAND		U	NONE TO CALLER'S KNOWLEDGE.		U	CALLER COULD ALSO SMELL MATERIAL WHEN SHE WAS IS IN THE AREA.			Y
ALL TABLES	18081	INC	SANTA FE PACIFIC PIPELINE	PRIVATE ENTERPRISE	LOS ANGELES	CA		UNAVAILABLE	1990-04-20	1990-04-20	PIPELINE/LEAK	PIPELINE	EQUIPMENT FAILURE	OCCURRED		I-10		MARANA	AZ	PIMA				1990-04-20	00:17:00	N	N	N	U		U		N					LAND			CLEAN UP CREW EN ROUTE.  SOURCE SECURED.						Y
ALL TABLES	18230	INC	ROLLINS LEASING	PRIVATE ENTERPRISE	WILMINGTON	DE	19899	UNAVAILABLE	1990-04-20	1990-04-20	SEMI FUEL TANK / DUE TO A TRANSPORT ACCIDENT	MOBILE	TRANSPORT ACCIDENT	OCCURRED		ON I-10 AT M.P. 14.8		QUARTZSITE	AZ	LA PAZ				1990-04-20	19:00:00	N	N	N	U		U		N					LAND			FIRE DEPT RESPONDED AT REQUEST OF STATE HWY PATROL / PLUGGED OFF THETANK						Y
