case_id,status,case_received,employer,address,city,state,zipcode,worksite,phone,job_title,crop,workers,base_pay
H-300-18088-041442,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-03-29T00:00:00Z,"Ag Installers, Inc.",P.O. Box 443,Bouse,AZ,85325,"North Vernon, IN 47265",281-330-1541,Farm worker and Laborer,Livestock,24,12.93
H-300-18089-944774,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-03-30T00:00:00Z,DUNCAN FAMILY FARMS LLC,18969 W McDowell Rd,Buckeye,AZ,85396,"Brockport, NY 14420",623-853-9880,Farmworker: Diversified,General Farm Workers,15,12.83
H-300-18094-079175,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-04-04T00:00:00Z,"Servicios Agricolas Mex, Inc.",15368 W. Westview Dr.,Goodyear,AZ,85395,"Litchfield Park, AZ 85340",623-374-1167,General Farmworkers,Watermelons,180,10.5
H-300-18072-391967,DETERMINATION ISSUED - CERTIFICATION,2018-03-13T00:00:00Z,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,TWIN FALLS,ID,83301,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,2,1584.22
H-300-18072-391967,DETERMINATION ISSUED - CERTIFICATION,2018-03-13T00:00:00Z,MANTEROLA SHEEP,20625 WEST CLAYTON ROAD,CASA GRANDE,AZ,85122,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,2,1584.22
H-300-18103-944764,DETERMINATION ISSUED - DENIED,2018-04-13T00:00:00Z,"Silver Canyon Nurseries, Inc.",2647 E. Southern Avenue,Phoenix,AZ,85040,"Dateland, AZ 85333",602-268-9466,"Farmworkers, Laborers, Crop, Nursery, & Greenhouse",Trees,10,10.5
H-300-18098-554812,DETERMINATION ISSUED - CERTIFICATION,2018-04-08T00:00:00Z,MELBY CUSTOM CONTRACTING INC.,2815 W. WILLIAM LANE,SAN TAN VALLEY,AZ,85142,"Pond Creek, OK 73766",480-440-5650,farm worker - grain 1,Custom Combine Harvesters,4,10.69
H-300-18103-710953,DETERMINATION ISSUED - CERTIFICATION,2018-04-13T00:00:00Z,"Silver Canyon Nurseries, Inc.",2647 E. Southern Avenue,Phoenix,AZ,85040,"Phoenix, AZ 85040",602-268-9466,"Farmworkers, Laborers, Crop Nursery",Trees,18,10.5
H-300-18142-673785,DETERMINATION ISSUED - CERTIFICATION,2018-05-23T00:00:00Z,"The Growers Company,  Inc.",P.O. Box 3170,Somerton,AZ,85350,"Salinas, CA 93905",928-627-8080,General Farmworkers,Iceberg Lettuce,175,13.18
H-300-18100-657346,DETERMINATION ISSUED - CERTIFICATION,2018-04-10T00:00:00Z,MANTEROLA SHEEP,20625 WEST CLAYTON ROAD,CASA GRANDE,AZ,85193,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,4,1584.22
H-300-18100-657346,DETERMINATION ISSUED - CERTIFICATION,2018-04-10T00:00:00Z,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,TWIN FALLS,ID,83301,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,4,1584.22
H-300-18142-682917,DETERMINATION ISSUED - CERTIFICATION,2018-05-22T00:00:00Z,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,TWIN FALLS,ID,83301,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,2,1584.22
H-300-18142-682917,DETERMINATION ISSUED - CERTIFICATION,2018-05-22T00:00:00Z,MANTEROLA SHEEP,20625 WEST CLAYTON ROAD,CASA GRANDE,AZ,85122,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,2,1584.22
H-300-18136-083641,DETERMINATION ISSUED - CERTIFICATION,2018-05-22T00:00:00Z,"BULLSEYE LIVESTOCK, LLC",P.O. Box 609 (corporate headquarters),Queen Creek,AZ,85142,"Fort Morgan, CO 80701",480-797-2921,Livestock/Farm/Irrigation Worker & Truck Driver,Livestock,6,10.69
H-300-15195-923040,DETERMINATION ISSUED - DENIED,2018-05-25T00:00:00Z,PURPLE KARAT ENTERPRISES INC,4762 N 189TH AVENUE,LITCHFIELD PARK,AZ,85340,"LITCHFIELD PARK, AZ 85340",623-266-4031,Farmworkers,General Farm Workers,10,10.5
H-300-18128-466282,DETERMINATION ISSUED - CERTIFICATION,2018-05-08T00:00:00Z,"Ag Installers, Inc.",P.O. Box 443,Bouse,AZ,85325,"North Vernon, IN 47265",281-330-1541,Farm worker and Laborer,Livestock,32,12.93
H-300-18124-646012,DETERMINATION ISSUED - CERTIFICATION,2018-05-04T00:00:00Z,AUZA RANCHES LLC,843 West Cottonwood Lane,Casa Grande,AZ,85122,"Casa Grande, AZ 85293",520-426-9313,Sheepherder,Sheep,13,1584.22
H-300-18113-948260,DETERMINATION ISSUED - DENIED,2018-05-24T00:00:00Z,BARNES HARVESTING,3095 S Trekell Rd,Casa Grande,AZ,85193,"Lyford, TX 78569",520-836-6853,Farm Machine Operator,Cotton,10,11.87
H-300-18142-007063,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2018-05-22T00:00:00Z,"Ag Installers, Inc.",P.O. Box 443,Bouse,AZ,85325,"Arlington, WA 98223",281-330-1541,Farm Workers/Laborer,Livestock,12,14.12
H-300-18164-681657,DETERMINATION ISSUED - CERTIFICATION,2018-06-13T00:00:00Z,MANTEROLA SHEEP,20625 WEST CLAYTON ROAD,CASA GRANDE,AZ,85122,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,6,1584.22
H-300-18164-681657,DETERMINATION ISSUED - CERTIFICATION,2018-06-13T00:00:00Z,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,TWIN FALLS,ID,83301,"CASA GRANDE, AZ 85193",208-595-2226,Sheepherder,Sheep,6,1584.22
H-300-18142-749944,DETERMINATION ISSUED - CERTIFICATION,2018-05-22T00:00:00Z,Ardia LLC,"Physical: 16195 Ave B & County 16th Street, Somerton AZ 85350",Somerton,AZ,85350,"Somerton, AZ 85350",928-919-2567,Sheepherder,Sheep,6,1584.22
H-300-18164-081558,DETERMINATION ISSUED - CERTIFICATION,2018-06-28T00:00:00Z,"AMIGO FARMS, INC.",4245 E 32ND ST,YUMA,AZ,85365,"Roll, AZ 85347",928-726-3738,Field Worker (Irrigators),General Farm Workers,8,11
H-300-18164-938343,DETERMINATION ISSUED - CERTIFICATION,2018-06-13T00:00:00Z,"Ag Installers, Inc.",16107 Kensington Drive,Sugar land,TX,77479,"Bouse, AZ 85325",713-557-3436,Farm Workers/Laborer,General Farm Workers,72,10.5
H-300-18179-672579,DETERMINATION ISSUED - CERTIFICATION,2018-06-28T00:00:00Z,"CENTRAL ARIZONA FARMING, INC",7332 E Butherus Dr.,Scottsdale,AZ,85260,"Tonopah, AZ 85354",480-998-1444,"Farmworkers and Laborers, Crop",General Farm Workers,93,10.5
H-300-18178-315077,DETERMINATION ISSUED - CERTIFICATION,2018-06-27T00:00:00Z,Duncan Family Farms LLC,18969 W McDowell Rd,Buckeye,AZ,85396,"Buckeye, AZ 85396",623-853-9880,Farmworker: Diversified,General Farm Workers,15,10.5
H-300-18198-767446,DETERMINATION ISSUED - CERTIFICATION,2018-07-17T00:00:00Z,Joseph Auza Sheep Co.,"Physical: 353 East Wiley Way, Casa Grande AZ 85122",Casa Grande,AZ,85122,"Arizona City, AZ 85223",520-518-1606,Sheepherder,Open Range Livestock,8,1584
H-300-18206-443325,DETERMINATION ISSUED - CERTIFICATION,2018-07-25T00:00:00Z,WESTERN RANGE ASSOCIATION,161 FIFTH AVENUE SOUTH,TWIN FALLS,ID,83301,"GOLD CANYON, AZ 85118",208-595-2226,Sheepherder,Sheep,1,1584.22
H-300-18206-443325,DETERMINATION ISSUED - CERTIFICATION,2018-07-25T00:00:00Z,FERREIRA LAND & CATTLE,3000 N REYMERT RD,GOLD CANYON,AZ,85118,"GOLD CANYON, AZ 85118",208-595-2226,Sheepherder,Sheep,1,1584.22
H-300-18225-298841,DETERMINATION ISSUED - CERTIFICATION,2018-08-13T00:00:00Z,Duncan Family Farms LLC,18969 W McDowell Rd,Buckeye,AZ,85396,"Buckeye, AZ 85396",623-853-9880,Farmworker: Diversified,Herbs,10,10.5
H-300-18200-949539,DETERMINATION ISSUED - CERTIFICATION,2018-07-25T00:00:00Z,"Kenly Farms, Inc.",5333 N 7th Street,Phoenix,AZ,85014,"Maricopa, AZ 85139",602-955-0222,General Farmworker,Flowers,30,10.5
H-300-18206-253045,DETERMINATION ISSUED - CERTIFICATION,2018-07-25T00:00:00Z,"Kenly Farms, Inc.",5333 N 7th Street,Phoenix,AZ,85014,"Maricopa, AZ 85139",602-955-0222,General Farmworker,Flowers,30,10.5
H-300-18212-997828,DETERMINATION ISSUED - CERTIFICATION,2018-08-14T00:00:00Z,"FOOTHILL PACKING, INC.","HEADQUARTERS: 1582 MOFFETT STREET, STE. G, SALINAS, CA 93905",YUMA,AZ,85365,"Thermal, CA 92274",831-784-1453,"Field Workers: Citrus, Peaches, Dates",Citrus,75,13.18
