to_committee	to_cand_id	item_prim_gen	item_trans_code	item_trans_type	item_entity_type	from_name	from_affiliation	to_name	item_date	item_amount_orig	item_memo	item_memo_text	item_image_id
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	HOYER FOR CONGRESS	HOYER'S MAJORITY FUND	KYRSTEN SINEMA FOR CONGRESS	2015-03-17	2000			15951145642
C00437293	H8AZ01104	G	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	HOYER FOR CONGRESS	HOYER'S MAJORITY FUND	KIRKPATRICK FOR ARIZONA	2015-03-25	2000			15951145638
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	HOYER FOR CONGRESS	HOYER'S MAJORITY FUND	KIRKPATRICK FOR ARIZONA	2015-03-17	2000			15951145640
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	GARRET GRAVES FOR CONGRESS		MCSALLY FOR CONGRESS	2015-03-26	1000			15951159745
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT	WAL-MART STORES INC.	KIRKPATRICK FOR ARIZONA	2015-02-20	2000			15970303227
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC)	BAE SYSTEMS, INC.	FRIENDS OF JOHN MCCAIN INC	2015-02-26	2500			15970303275
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAN FAMILY MUTUAL INSURANCE COMPANY FEDERAL PAC (AMFAM PAC)	AMERICAN FAMILY MUTUAL INSURANCE CO.	FRIENDS OF JOHN MCCAIN INC	2015-02-27	500			15950875371
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	LARSON FOR CONGRESS	NONE	KIRKPATRICK FOR ARIZONA	2015-03-30	1000			15970344241
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	RICK W. ALLEN FOR CONGRESS	FRESHMAN AGRICULTURAL REPUBLICAN MEMBERS TRUST AKA FARM TRUST	MCSALLY FOR CONGRESS	2015-03-12	1000			15951152391
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	L-3 COMMUNICATIONS CORPORATION POLITICAL ACTION COMMITTEE		MCSALLY FOR CONGRESS	2015-03-20	1000			15951143863
C00367110	H4AZ04024	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)	GENERAL DYNAMICS CORPORATION	COMMITTEE TO RE-ELECT TRENT FRANKS TO CONGRESS	2015-03-17	1500			15951143390
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)	GENERAL DYNAMICS CORPORATION	KYRSTEN SINEMA FOR CONGRESS	2015-03-17	1000			15951143390
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GDC PAC)	GENERAL DYNAMICS CORPORATION	MCSALLY FOR CONGRESS	2015-03-19	1000			15951143395
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CAN	UNITED TRANSPORTATION UNION POLITICAL ACTION COMMITTEE (UTU PAC)	UNITED TRANSPORTATION UNION	SINEMA, KYRSTEN	2015-03-17	2500			15951143480
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	FREEDOM AND SECURITY PAC	JOHN P. KLINE	MCSALLY FOR CONGRESS	2015-03-28	1000			15951161492
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	UNITED PARCEL SERVICE INC. PAC	UNITED PARCEL SERVICE INC.	KIRKPATRICK FOR ARIZONA	2015-03-25	1000			15970357237
C00495630	H4AZ01038	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)	SAFARI CLUB INTERNATIONAL	SALMON FOR CONGRESS	2015-01-27	2000			15951148908
C00495630	H4AZ01038	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)	SAFARI CLUB INTERNATIONAL	SALMON FOR CONGRESS	2015-02-13	-2000			15951148910
C00495630	H4AZ01038	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)	SAFARI CLUB INTERNATIONAL	SALMON FOR CONGRESS	2015-02-13	2000			15951148911
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)	SAFARI CLUB INTERNATIONAL	FRIENDS OF JOHN MCCAIN, INC.	2015-03-06	2000			15951148912
C00461806	H0AZ01259	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)	SAFARI CLUB INTERNATIONAL	PAUL GOSAR FOR CONGRESS	2015-03-06	2000			15951148915
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAS HEALTH INSURANCE PLANS PAC (AHIP PAC)	AMERICAS HEALTH INSURANCE PLANS	KYRSTEN SINEMA FOR CONGRESS	2015-03-23	5000			15951146972
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAS HEALTH INSURANCE PLANS PAC (AHIP PAC)	AMERICAS HEALTH INSURANCE PLANS	KYRSTEN SINEMA FOR CONGRESS	2015-03-23	-5000			15951146972
C00461806	H0AZ01259	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	NUCLEAR ENERGY INSTITUTE FEDERAL POLITICAL ACTION COMMITTEE	NUCLEAR ENERGY INSTITUTE	PAUL GOSAR FOR CONGRESS	2015-03-16	1500			15970346319
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAS HEALTH INSURANCE PLANS PAC (AHIP PAC)	AMERICAS HEALTH INSURANCE PLANS	KYRSTEN SINEMA FOR CONGRESS	2015-02-17	5000			15970307729
C00512236	H2AZ08102	G	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	DIGITALGLOBE PAC INC. (DG-PAC)	DIGITALGLOBE, INC.	MCSALLY FOR CONGRESS	2015-01-21	1000			15950888689
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC)	CENTENE CORPORATION	KYRSTEN SINEMA FOR CONGRESS	2015-02-24	1000			15970308488
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	UNIVISION COMMUNICATIONS INC. POLITICAL ACTION COMMITTEE	UNIVISION COMMUNICATIONS, INC.	GALLEGO FOR ARIZONA	2015-02-18	1000			15970308738
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	APPLIED MATERIALS, INC. POLITICAL ACTION COMMITTEE	APPLIED MATERIALS, INC.	KYRSTEN SINEMA FOR CONGRESS	2015-03-23	500		CONTRIBUTION MADE THROUGH A JOINT FUNDRAISING COMMITTEE: AUSTIN INNOVATION 2015	15951152883
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	PROGRESSIVE AMERICANS FOR DEMOCRACY		ANN KIRKPATRICK FOR ARIZONA	2015-03-24	1000			15951157355
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AIR LINE PILOTS ASSOCIATION PAC	AIR LINE PILOTS ASSOCIATION	GALLEGO FOR ARIZONA	2015-03-19	1000			15970354971
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AIR LINE PILOTS ASSOCIATION PAC	AIR LINE PILOTS ASSOCIATION	MCSALLY FOR CONGRESS	2015-03-19	2500			15970354965
C00374058	H2AZ07070	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AIR LINE PILOTS ASSOCIATION PAC	AIR LINE PILOTS ASSOCIATION	A WHOLE LOT OF PEOPLE FOR GRIJALVA CONGRESSIONAL C	2015-03-19	2500			15970354968
C00540617	H4AZ06045	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC)	AMERICAN LAND TITLE ASSOCIATION	FRIENDS OF DAVID SCHWEIKERT	2015-03-11	1000			15951152113
C00540617	H4AZ06045	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC)	AMERICAN LAND TITLE ASSOCIATION	FRIENDS OF DAVID SCHWEIKERT	2015-03-30	4000			15951152114
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAN LAND TITLE ASSOCIATION TITLE INDUSTRY PAC (TIPAC)	AMERICAN LAND TITLE ASSOCIATION	KYRSTEN SINEMA FOR CONGRESS	2015-03-11	1000			15951152119
C00540617	H4AZ06045	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	ORG	NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE	ILLINOIS RPAC FED	DAVID SCHWEIKERT FOR CONGRESS	2015-03-03	1000			15951161142
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE	ILLINOIS RPAC FED	MCSALLY FOR CONGRESS	2015-03-23	1000			15951161142
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	ORG	NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE	ILLINOIS RPAC FED	KYRSTEN SINEMA FOR CONGRESS	2015-03-03	1000			15951161141
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	ORG	NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE	ILLINOIS RPAC FED	GALLEGO FOR ARIZONA	2015-03-03	1000			15951161141
C00347260	S2AZ00141	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	ORG	NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE	ILLINOIS RPAC FED	JEFF FLAKE FOR US SENATE INC	2015-03-03	1000			15951161142
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	PAC	AUSTAL USA, LLC FEDERAL POLITICAL ACTION COMMITTEE	AUSTAL HOLDINGS, INC.	FRIENDS OF JOHN MCCAIN INC	2015-02-05	2600			15951154345
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	HEARTLAND VALUES PAC	JOHN R THUNE	FRIENDS OF JOHN MCCAIN	2015-02-19	5000			15951155340
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	HUDSON FOR CONGRESS	HUDSON FREEDOM FUND	MCSALLY FOR CONGRESS	2015-02-28	1000			15970362627
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE	INDEPENDENT COMMUNITY BANKERS OF AMERICA	KYRSTEN SINEMA FOR CONGRESS	2015-03-24	1000		2016 PRIMARY ELECTION	15951179111
C00495630	H4AZ01038	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	MAJORITY COMMITTEE PAC--MC PAC	MCCARTHY	SALMON FOR CONGRESS	2015-02-03	-5000			15950889370
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	MCGUIREWOODS LLP	NONE	FRIENDS OF JOHN MCCAIN INC	2015-02-04	2500			15950885905
C00495630	H4AZ01038	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	MINEPAC, A POLITICAL ACTION COMMITTEE OF THE NATIONAL MINING ASSOCIATION		SALMON FOR CONGRESS	2015-03-26	1000			15951177607
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	PAC	DISCOVER FINANCIAL SERVICES POLITICAL ACTION COMMITTEE	DISCOVER FINANCIAL SERVICES POLITICAL ACTION COMMITTEE	KYRSTEN SINEMA FOR CONGRESS	2015-03-30	1000			15970364988
C00347260	H0AZ01184	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	FORD MOTOR COMPANY CIVIC ACTION FUND	FORD MOTOR COMPANY	JEFF FLAKE FOR US SENATE INC	2015-03-11	2500		DIRECT CONTRIBUTION	15951177743
C00347260	H0AZ01184	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	FORD MOTOR COMPANY CIVIC ACTION FUND	FORD MOTOR COMPANY	JEFF FLAKE FOR US SENATE INC	2015-03-31	2500		DIRECT CONTRIBUTION	15951177768
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE	UNITED TECHNOLOGIES CORPORATION	KYRSTEN SINEMA FOR CONGRESS	2015-03-12	2000			15951178363
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE	UNITED TECHNOLOGIES CORPORATION	GALLEGO FOR ARIZONA	2015-03-19	1000			15951178365
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE	UNITED TECHNOLOGIES CORPORATION	MCSALLY FOR CONGRESS	2015-03-26	1000			15951178377
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE	SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE	KIRKPATRICK FOR ARIZONA	2015-03-18	1000			15951178155
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAN FAMILY MUTUAL INSURANCE COMPANY FEDERAL PAC (AMFAM PAC)	AMERICAN FAMILY MUTUAL INSURANCE CO.	GALLEGO FOR ARIZONA	2015-03-06	1000			15970365248
C00347260	S2AZ00141	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	AMERICAN FAMILY MUTUAL INSURANCE COMPANY FEDERAL PAC (AMFAM PAC)	AMERICAN FAMILY MUTUAL INSURANCE CO.	JEFF FLAKE FOR US SENATE INC	2015-03-06	1000			15970365249
C00512236	H2AZ08102	G	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)	NATIONAL RURAL ELECTRIC COOPERATIVE	MARTHA MCSALLY FOR CONGRESS	2015-01-14	2500		GENERAL ELECTION DEBT RETIREMENT	15970365429
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	CENTENE CORPORATION POLITICAL ACTION COMMITTEE (CENTENE PAC)	CENTENE CORPORATION	FRIENDS OF JOHN MCCAIN	2015-03-24	5000			15970365377
C00461806	H0AZ01259	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)	NATIONAL RURAL ELECTRIC COOPERATIVE	PAUL GOSAR FOR CONGRESS	2015-03-18	1000			15951178913
C00461806	H0AZ01259	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)	NATIONAL RURAL ELECTRIC COOPERATIVE	PAUL GOSAR FOR CONGRESS	2015-03-26	1000			15951178913
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)	NATIONAL RURAL ELECTRIC COOPERATIVE	KYRSTEN SINEMA FOR CONGRESS	2015-03-18	1000			15951178921
C00540617	H4AZ06045	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION ACTION COMMITTEE FOR RURAL ELECTRIFICATION (ACRE)	NATIONAL RURAL ELECTRIC COOPERATIVE	SCHWEIKERT FOR CONGRESS	2015-03-18	1000			15951178906
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	GOOD FUND, THE	GOODLATTE	MCSALLY FOR CONGRESS	2015-03-16	1000			15970363132
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)	ARKANSAS BANKERS ASSOCIATION PAC INC.	KIRKPATRICK FOR ARIZONA	2015-03-20	1000			15970363231
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)	ARKANSAS BANKERS ASSOCIATION PAC INC.	KIRKPATRICK FOR ARIZONA	2015-03-23	1000			15970363233
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)	ARKANSAS BANKERS ASSOCIATION PAC INC.	KIRKPATRICK FOR ARIZONA	2015-03-23	-1000			15970363233
C00508804	H2AZ09019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)	ARKANSAS BANKERS ASSOCIATION PAC INC.	KYRSTEN SINEMA FOR CONGRESS	2015-03-09	1000			15970363206
C00512236	H2AZ08102	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	COM	AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)	ARKANSAS BANKERS ASSOCIATION PAC INC.	MCSALLY FOR CONGRESS	2015-03-17	1000			15970363225
C00347260	S2AZ00141	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	DIRECTV GROUP, INC. FUND - FEDERAL (DIRECTV PAC)	THE DIRECTV GROUP, INC.	JEFF FLAKE FOR US SENATE INC	2015-01-27	2500			15950613967
C00347260	S2AZ00141	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	PEABODY ENERGY CORPORATION POLITICAL ACTION COMMITTEE   (PEABODY PAC)	PEABODY ENERGY CORPORATION	JEFF FLAKE FOR US SENATE INC	2015-01-29	2500			15950614035
C00540617	H4AZ06045	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION	CREDIT UNION NATIONAL ASSOCIATION	DAVID SCHWEIKERT FOR CONGRESS	2015-01-16	1000			15950624381
C00512236	H2AZ08102	G	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	MCSALLY FOR CONGRESS	2015-01-22	1000			15950849402
C00540617	H4AZ06045	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	FRIENDS OF DAVID SCHWEIKERT	2015-02-26	1000			15950849659
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	FRIENDS OF JOHN MCCAIN INC	2015-02-26	2500			15950849660
C00558627	H4AZ07043	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	GALLEGO FOR ARIZONA	2015-02-26	1000			15950849661
C00437293	H8AZ01104	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	KIRKPATRICK FOR ARIZONA	2015-02-26	1000			15950849663
C00461806	H0AZ01259	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	THE BOEING COMPANY POLITICAL ACTION COMMITTEE	THE BOEING COMPANY	PAUL GOSAR FOR CONGRESS	2015-02-26	1000			15950849665
C00540310	S6AZ00019	P	24K	CONTRIBUTION MADE TO NON-AFFILIATED COMMITTEE	CCM	SMITH & WESSON HOLDING CORPORATION POLITICAL ACTION COMMITTEE	SMITH & WESSON HOLDING CORPORATION	FRIENDS OF JOHN MCCAIN	2015-02-11	1000			15950851831
