case_id	case_date	employer	address	city	state	zipcode	worksite	phone	job_title	crop	workers	base_pay
H-300-18067-862363	3/8/2018	"V & P Nurseries, Inc."	21919 E Germann Rd	Queen Creek	AZ	85142	"Queen Creek, AZ 85142"	480-919-847	Nursery Worker	Nursery and Greenhouse Workers	46	10.5
H-300-18039-489666	2/14/2018	"Central Arizona Farming, Inc."	7332 E Butherus Dr.	Scottsdale	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	"Farmworkers and Laborers, Crop"	Melons	102	10.5
H-300-18077-374968	3/18/2018	"Central Arizona Farming, Inc."	7332 E Butherus Dr.	Scottsdale	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	"Farmworkers and Laborers, Crop"	General Farm Workers	80	10.5
H-300-18095-135508	4/6/2018	"The Growers Company,  Inc."	P.O. Box 3170	Somerton	AZ	85350	"Salinas, CA 93906"	928-627-8080	General Farmworkers	Strawberries	56	13.18
H-300-18088-041442	3/29/2018	"Ag Installers, Inc."	P.O. Box 443	Bouse	AZ	85325	"North Vernon, IN 47265"	281-330-1541	Farm worker and Laborer	Livestock	24	12.93
H-300-18089-944774	3/30/2018	DUNCAN FAMILY FARMS LLC	18969 W McDowell Rd	Buckeye	AZ	85396	"Brockport, NY 14420"	623-853-9880	Farmworker: Diversified	General Farm Workers	15	12.83
H-300-18094-079175	4/4/2018	"Servicios Agricolas Mex, Inc."	15368 W. Westview Dr.	Goodyear	AZ	85395	"Litchfield Park, AZ 85340"	623-374-1167	General Farmworkers	Watermelons	180	10.5
H-300-18072-391967	3/13/2018	WESTERN RANGE ASSOCIATION	161 FIFTH AVENUE SOUTH	TWIN FALLS	ID	83301	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	2	1584.22
H-300-18072-391967	3/13/2018	MANTEROLA SHEEP	20625 WEST CLAYTON ROAD	CASA GRANDE	AZ	85122	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	2	1584.22
H-300-18103-944764	4/13/2018	"Silver Canyon Nurseries, Inc."	2647 E. Southern Avenue	Phoenix	AZ	85040	"Dateland, AZ 85333"	602-268-9466	"Farmworkers, Laborers, Crop, Nursery, & Greenhouse"	Trees	10	10.5
H-300-18098-554812	4/8/2018	MELBY CUSTOM CONTRACTING INC.	2815 W. WILLIAM LANE	SAN TAN VALLEY	AZ	85142	"Pond Creek, OK 73766"	480-440-5650	farm worker - grain 1	Custom Combine Harvesters	4	10.69
H-300-18103-710953	4/13/2018	"Silver Canyon Nurseries, Inc."	2647 E. Southern Avenue	Phoenix	AZ	85040	"Phoenix, AZ 85040"	602-268-9466	"Farmworkers, Laborers, Crop Nursery"	Trees	18	10.5
H-300-18142-673785	5/23/2018	"The Growers Company,  Inc."	P.O. Box 3170	Somerton	AZ	85350	"Salinas, CA 93905"	928-627-8080	General Farmworkers	Iceberg Lettuce	175	13.18
H-300-18100-657346	4/10/2018	MANTEROLA SHEEP	20625 WEST CLAYTON ROAD	CASA GRANDE	AZ	85193	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	4	1584.22
H-300-18100-657346	4/10/2018	WESTERN RANGE ASSOCIATION	161 FIFTH AVENUE SOUTH	TWIN FALLS	ID	83301	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	4	1584.22
H-300-18142-682917	5/22/2018	WESTERN RANGE ASSOCIATION	161 FIFTH AVENUE SOUTH	TWIN FALLS	ID	83301	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	2	1584.22
H-300-18142-682917	5/22/2018	MANTEROLA SHEEP	20625 WEST CLAYTON ROAD	CASA GRANDE	AZ	85122	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	2	1584.22
H-300-18136-083641	5/22/2018	"BULLSEYE LIVESTOCK, LLC"	P.O. Box 609 (corporate headquarters)	Queen Creek	AZ	85142	"Fort Morgan, CO 80701"	480-797-2921	Livestock/Farm/Irrigation Worker & Truck Driver	Livestock	6	10.69
H-300-15195-923040	5/25/2018	PURPLE KARAT ENTERPRISES INC	4762 N 189TH AVENUE	LITCHFIELD PARK	AZ	85340	"LITCHFIELD PARK, AZ 85340"	623-266-4031	Farmworkers	General Farm Workers	10	10.5
H-300-18128-466282	5/8/2018	"Ag Installers, Inc."	P.O. Box 443	Bouse	AZ	85325	"North Vernon, IN 47265"	281-330-1541	Farm worker and Laborer	Livestock	32	12.93
H-300-18124-646012	5/4/2018	AUZA RANCHES LLC	843 West Cottonwood Lane	Casa Grande	AZ	85122	"Casa Grande, AZ 85293"	520-426-9313	Sheepherder	Sheep	13	1584.22
H-300-18113-948260	5/24/2018	BARNES HARVESTING	3095 S Trekell Rd	Casa Grande	AZ	85193	"Lyford, TX 78569"	520-836-6853	Farm Machine Operator	Cotton	10	11.87
H-300-18142-007063	5/22/2018	"Ag Installers, Inc."	P.O. Box 443	Bouse	AZ	85325	"Arlington, WA 98223"	281-330-1541	Farm Workers/Laborer	Livestock	12	14.12
H-300-18164-681657	6/13/2018	MANTEROLA SHEEP	20625 WEST CLAYTON ROAD	CASA GRANDE	AZ	85122	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	6	1584.22
H-300-18164-681657	6/13/2018	WESTERN RANGE ASSOCIATION	161 FIFTH AVENUE SOUTH	TWIN FALLS	ID	83301	"CASA GRANDE, AZ 85193"	208-595-2226	Sheepherder	Sheep	6	1584.22
H-300-18142-749944	5/22/2018	Ardia LLC	"Physical: 16195 Ave B & County 16th Street, Somerton AZ 85350"	Somerton	AZ	85350	"Somerton, AZ 85350"	928-919-2567	Sheepherder	Sheep	6	1584.22
H-300-18164-081558	6/28/2018	"AMIGO FARMS, INC."	4245 E 32ND ST	YUMA	AZ	85365	"Roll, AZ 85347"	928-726-3738	Field Worker (Irrigators)	General Farm Workers	8	11
H-300-18164-938343	6/13/2018	"Ag Installers, Inc."	16107 Kensington Drive	Sugar land	TX	77479	"Bouse, AZ 85325"	713-557-3436	Farm Workers/Laborer	General Farm Workers	72	10.5
H-300-18179-672579	6/28/2018	"CENTRAL ARIZONA FARMING, INC"	7332 E Butherus Dr.	Scottsdale	AZ	85260	"Tonopah, AZ 85354"	480-998-1444	"Farmworkers and Laborers, Crop"	General Farm Workers	93	10.5
H-300-18178-315077	6/27/2018	Duncan Family Farms LLC	18969 W McDowell Rd	Buckeye	AZ	85396	"Buckeye, AZ 85396"	623-853-9880	Farmworker: Diversified	General Farm Workers	15	10.5
H-300-18198-767446	7/17/2018	Joseph Auza Sheep Co.	"Physical: 353 East Wiley Way, Casa Grande AZ 85122"	Casa Grande	AZ	85122	"Arizona City, AZ 85223"	520-518-1606	Sheepherder	Open Range Livestock	8	1584
H-300-18206-443325	7/25/2018	WESTERN RANGE ASSOCIATION	161 FIFTH AVENUE SOUTH	TWIN FALLS	ID	83301	"GOLD CANYON, AZ 85118"	208-595-2226	Sheepherder	Sheep	1	1584.22
H-300-18206-443325	7/25/2018	FERREIRA LAND & CATTLE	3000 N REYMERT RD	GOLD CANYON	AZ	85118	"GOLD CANYON, AZ 85118"	208-595-2226	Sheepherder	Sheep	1	1584.22
H-300-18225-298841	8/13/2018	Duncan Family Farms LLC	18969 W McDowell Rd	Buckeye	AZ	85396	"Buckeye, AZ 85396"	623-853-9880	Farmworker: Diversified	Herbs	10	10.5
H-300-18200-949539	7/25/2018	"Kenly Farms, Inc."	5333 N 7th Street	Phoenix	AZ	85014	"Maricopa, AZ 85139"	602-955-0222	General Farmworker	Flowers	30	10.5
H-300-18206-253045	7/25/2018	"Kenly Farms, Inc."	5333 N 7th Street	Phoenix	AZ	85014	"Maricopa, AZ 85139"	602-955-0222	General Farmworker	Flowers	30	10.5
H-300-18212-997828	8/14/2018	"FOOTHILL PACKING, INC."	"HEADQUARTERS: 1582 MOFFETT STREET, STE. G, SALINAS, CA 93905"	YUMA	AZ	85365	"Thermal, CA 92274"	831-784-1453	"Field Workers: Citrus, Peaches, Dates"	Citrus	75	13.18
H-300-18219-822436	8/7/2018	"Fresh Harvest, Inc."	"Corporate Office: 101 E. Main Street, Heber, CA 92249"	Somerton	AZ	85352	"Yuma, AZ 85365"	760-352-5212	"Farmworkers & Laborers, Citrus"	Citrus	60	10.5
H-300-18220-459991	8/15/2018	PURPLE KARAT	4762 N 189TH AVENUE	LITCHFIELD PARK	AZ	85340	"LITCHFIELD PARK, AZ 85340"	623-266-4031	Salad Processing and farm labor	Lettuce	10	10.5
H-300-18220-492345	8/8/2018	"El Rancho Grande, LLC"	6735 W. Frier Dr.	Glendale	AZ	85303	"Gila River Indian Community, NA N/A"	623-934-9415	Agricultural laborers/workers	Hay and Straw	8	11
H-300-18219-389310	8/7/2018	"SILVER CANYON NURSERIES, INC."	2647 E. Southern Avenue	Phoenix	AZ	85040	"Dateland, AZ 85333"	602-268-9466	"Farmworkers, Laborers, Crop, Nursery, & Greenhouse"	Trees	20	10.5
H-300-18221-838716	8/9/2018	MANTEROLA SHEEP COMPANY INC	"Physical: 20625 W. Clayton Rd., Casa Grande AZ 85193"	Casa Grande	AZ	85130	"Casa Grande, AZ 85193"	520-836-8597	Range Livestock Worker	Open Range Livestock	2	1584.22
H-300-18234-962671	8/22/2018	Agro-Cargo LLC	17614 S Avenue 1 1/2 E	Yuma	AZ	85365	"Yuma, AZ 85365"	928-344-2892	General Farmworker	Lettuce	41	10.5
H-300-18218-718376	8/20/2018	"RANCHO NUEVO HARVESTING, INC."	1225 LA BREA AVE	SANTA MARIA	CA	93458	"Yuma, AZ 85356"	805-347-1370	"Field Worker (Melon Harvest, General Labor)"	Melons	108	10.5
H-300-18220-665047	8/23/2018	"FOOTHILL PACKING, INC."	"HEADQUARTERS: 582 MOFFETT STREET SUITE G, SALINAS, CA 93905"	YUMA	AZ	85365	"San Luis, AZ 85365"	831-784-1453	Field Workers	Spinach	33	10.95
H-300-18226-195498	8/27/2018	"FOOTHILL PACKING, INC."	"HEADQUARTERS: 1582 MOFFETT STREET SUITE G, SALINAS, CA 93905"	YUMA	AZ	85365	"Dome Valley, AZ 85365"	831-784-1453	Field Workers	Citrus	200	10.95
H-300-18236-658425	8/24/2018	R.C. Packing LLC	26769 El Camino Real North	Gonzalez	CA	93926	"Yuma, AZ 85364"	831-675-0308	Farmworker	Lettuce	240	10.5
H-300-18201-774615	7/27/2018	"UNITED AG LABOR SERVICES, INC."	125 W MILL ST	SANTA MARIA	CA	93458	"TACNA, AZ 85352"	805-310-5970	LETTUCE HARVESTER	Lettuce	14	10.5
H-300-18233-635788	8/23/2018	"Servicios Agricolas Mex, Inc."	15368 W. Westview Dr.	Goodyear	AZ	85395	"Scottsdale, AZ 85256"	623-374-1167	General Farmworkers	Broccoli	200	10.5
H-300-18239-423615	8/28/2018	"The Growers Company,  Inc."	P.O. Box 3170	Somerton	AZ	85350	"Coalinga, CA 93234"	928-627-8080	General Farmworkers	Lettuce	100	13.18
H-300-18233-305400	9/6/2018	ELKHORN PACKING CO. LLC	60 W MARKET ST. STE 150	SALINAS	CA	93901	"Yuma, AZ 85365"	831-676-3833	Field Worker (Mix Romaine and Romaine Hearts)	Romaine Lettuce	210	13.35
