original order	Original	PACEIndicator	Report date	County	Enrollment	orig total
186	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2011	ONEIDA	335.0	386.0
188	TOTAL AGING IN PLACE PROGRAM	Partial capitation	JANUARY 1, 2011	ERIE	137.0	137.0
190	VNS CHOICE	Partial capitation	JANUARY 1, 2011	NEW YORK	8751.0	8751.0
192	WELLCARE	Partial capitation	JANUARY 1, 2011	NEW YORK	1226.0	1226.0
207	ARCHCARE SENIOR LIFE	PACE plan	JANUARY 1, 2012	NEW YORK	196.0	196.0
209	CHS BUFFALO LIFE	PACE plan	JANUARY 1, 2012	ERIE	75.0	75.0
211	COMPLETE SENIOR CARE	PACE plan	JANUARY 1, 2012	NIAGARA	21.0	21.0
213	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2012	NASSAU	19.0	2928.0
214	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2012	NEW YORK	2688.0	2928.0
215	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2012	SUFFOLK	65.0	2928.0
216	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2012	WESTCHESTER	156.0	2928.0
218	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2012	ALBANY	3.0	116.0
219	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2012	SCHENECTADY	113.0	116.0
221	INDEPENDENT LIVING FOR SENIORS	PACE plan	JANUARY 1, 2012	MONROE	286.0	286.0
223	PACE CNY	PACE plan	JANUARY 1, 2012	ONONDAGA	399.0	400.0
224	PACE CNY	PACE plan	JANUARY 1, 2012	OSWEGO	1.0	400.0
226	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2012	ALLEGANY	5.0	75.0
227	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2012	CATTARAUGUS	70.0	75.0
232	AMERIGROUP	Partial capitation	JANUARY 1, 2012	NEW YORK	1429.0	1429.0
234	CCM SELECT	Partial capitation	JANUARY 1, 2012	NEW YORK	3567.0	3606.0
235	CCM SELECT	Partial capitation	JANUARY 1, 2012	WESTCHESTER	39.0	3606.0
237	ELANT	Partial capitation	JANUARY 1, 2012	ORANGE	126.0	179.0
238	ELANT	Partial capitation	JANUARY 1, 2012	ROCKLAND	53.0	179.0
240	ELDERPLAN	Partial capitation	JANUARY 1, 2012	NEW YORK	4878.0	4878.0
242	ELDERSERVE	Partial capitation	JANUARY 1, 2012	NASSAU	30.0	4186.0
243	ELDERSERVE	Partial capitation	JANUARY 1, 2012	NEW YORK	4097.0	4186.0
244	ELDERSERVE	Partial capitation	JANUARY 1, 2012	SUFFOLK	16.0	4186.0
245	ELDERSERVE	Partial capitation	JANUARY 1, 2012	WESTCHESTER	43.0	4186.0
247	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2012	ORANGE	244.0	440.0
248	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2012	ROCKLAND	196.0	440.0
250	GUILDNET	Partial capitation	JANUARY 1, 2012	NASSAU	490.0	7523.0
251	GUILDNET	Partial capitation	JANUARY 1, 2012	NEW YORK	6588.0	7523.0
252	GUILDNET	Partial capitation	JANUARY 1, 2012	SUFFOLK	445.0	7523.0
254	HHH CHOICES	Partial capitation	JANUARY 1, 2012	NEW YORK	1266.0	1266.0
256	INDEPENDENCE CARE SYSTEMS	Partial capitation	JANUARY 1, 2012	NEW YORK	1970.0	1970.0
258	SENIOR HEALTH PARTNERS INC	Partial capitation	JANUARY 1, 2012	NEW YORK	3426.0	3426.0
260	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2012	HERKIMER	50.0	392.0
261	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2012	ONEIDA	342.0	392.0
263	TOTAL AGING IN PLACE PROGRAM	Partial capitation	JANUARY 1, 2012	ERIE	127.0	127.0
265	VNS CHOICE	Partial capitation	JANUARY 1, 2012	NEW YORK	10060.0	10060.0
267	WELLCARE	Partial capitation	JANUARY 1, 2012	NEW YORK	1908.0	1908.0
284	ARCHCARE SENIOR LIFE	PACE plan	JANUARY 1, 2013	NEW YORK	230.0	230.0
286	CHS BUFFALO LIFE	PACE plan	JANUARY 1, 2013	ERIE	111.0	111.0
288	COMPLETE SENIOR CARE	PACE plan	JANUARY 1, 2013	NIAGARA	64.0	64.0
290	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2013	NASSAU	25.0	3225.0
291	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2013	NEW YORK	2964.0	3225.0
292	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2013	SUFFOLK	73.0	3225.0
293	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2013	WESTCHESTER	163.0	3225.0
295	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2013	ALBANY	4.0	132.0
296	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2013	SCHENECTADY	128.0	132.0
298	INDEPENDENT LIVING FOR SENIORS	PACE plan	JANUARY 1, 2013	MONROE	383.0	383.0
300	PACE CNY	PACE plan	JANUARY 1, 2013	ONONDAGA	428.0	429.0
301	PACE CNY	PACE plan	JANUARY 1, 2013	OSWEGO	1.0	429.0
303	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2013	ALLEGANY	8.0	90.0
304	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2013	CATTARAUGUS	82.0	90.0
309	AETNA BETTER HEALTH	Partial capitation	JANUARY 1, 2013	NASSAU	2.0	101.0
310	AETNA BETTER HEALTH	Partial capitation	JANUARY 1, 2013	NEW YORK	91.0	101.0
311	AETNA BETTER HEALTH	Partial capitation	JANUARY 1, 2013	SUFFOLK	8.0	101.0
313	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2013	NASSAU	27.0	143.0
314	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2013	NEW YORK	115.0	143.0
315	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2013	SUFFOLK	1.0	143.0
317	AMERIGROUP	Partial capitation	JANUARY 1, 2013	NEW YORK	2466.0	2466.0
319	ARCHCARE COMMUNITY LIFE	Partial capitation	JANUARY 1, 2013	NEW YORK	19.0	129.0
320	ARCHCARE COMMUNITY LIFE	Partial capitation	JANUARY 1, 2013	WESTCHESTER	110.0	129.0
322	CCM SELECT	Partial capitation	JANUARY 1, 2013	NEW YORK	6723.0	6904.0
323	CCM SELECT	Partial capitation	JANUARY 1, 2013	ROCKLAND	87.0	6904.0
324	CCM SELECT	Partial capitation	JANUARY 1, 2013	WESTCHESTER	94.0	6904.0
326	ELANT	Partial capitation	JANUARY 1, 2013	DUTCHESS	23.0	271.0
327	ELANT	Partial capitation	JANUARY 1, 2013	ORANGE	137.0	271.0
328	ELANT	Partial capitation	JANUARY 1, 2013	ROCKLAND	111.0	271.0
330	ELDERPLAN	Partial capitation	JANUARY 1, 2013	MONROE	28.0	7086.0
331	ELDERPLAN	Partial capitation	JANUARY 1, 2013	NASSAU	5.0	7086.0
332	ELDERPLAN	Partial capitation	JANUARY 1, 2013	NEW YORK	7020.0	7086.0
333	ELDERPLAN	Partial capitation	JANUARY 1, 2013	WESTCHESTER	33.0	7086.0
335	ELDERSERVE	Partial capitation	JANUARY 1, 2013	NASSAU	40.0	7415.0
336	ELDERSERVE	Partial capitation	JANUARY 1, 2013	NEW YORK	7255.0	7415.0
337	ELDERSERVE	Partial capitation	JANUARY 1, 2013	SUFFOLK	19.0	7415.0
338	ELDERSERVE	Partial capitation	JANUARY 1, 2013	WESTCHESTER	101.0	7415.0
340	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	ALBANY	26.0	2661.0
341	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	COLUMBIA	2.0	2661.0
342	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	DUTCHESS	2.0	2661.0
343	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	ERIE	2.0	2661.0
344	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	HERKIMER	2.0	2661.0
345	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	MONTGOMERY	2.0	2661.0
346	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	NASSAU	4.0	2661.0
347	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	NEW YORK	2116.0	2661.0
348	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	ONEIDA	8.0	2661.0
349	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	ONONDAGA	5.0	2661.0
350	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	ORANGE	246.0	2661.0
351	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	OSWEGO	4.0	2661.0
352	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	RENSSELAER	5.0	2661.0
353	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	ROCKLAND	217.0	2661.0
354	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	SCHENECTADY	10.0	2661.0
355	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	SUFFOLK	4.0	2661.0
356	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	SULLIVAN	1.0	2661.0
357	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2013	WESTCHESTER	5.0	2661.0
359	GUILDNET	Partial capitation	JANUARY 1, 2013	NASSAU	559.0	10570.0
360	GUILDNET	Partial capitation	JANUARY 1, 2013	NEW YORK	9417.0	10570.0
361	GUILDNET	Partial capitation	JANUARY 1, 2013	SUFFOLK	576.0	10570.0
362	GUILDNET	Partial capitation	JANUARY 1, 2013	WESTCHESTER	18.0	10570.0
364	HHH CHOICES	Partial capitation	JANUARY 1, 2013	NEW YORK	1761.0	1770.0
365	HHH CHOICES	Partial capitation	JANUARY 1, 2013	WESTCHESTER	9.0	1770.0
367	HIP OF GREATER NEW YORK	Partial capitation	JANUARY 1, 2013	NASSAU	2.0	460.0
368	HIP OF GREATER NEW YORK	Partial capitation	JANUARY 1, 2013	NEW YORK	458.0	460.0
370	INDEPENDENCE CARE SYSTEMS	Partial capitation	JANUARY 1, 2013	NEW YORK	3805.0	3805.0
372	METROPLUS 	Partial capitation	JANUARY 1, 2013	NEW YORK	5.0	5.0
374	SENIOR HEALTH PARTNERS INC	Partial capitation	JANUARY 1, 2013	NASSAU	13.0	6422.0
375	SENIOR HEALTH PARTNERS INC	Partial capitation	JANUARY 1, 2013	NEW YORK	6409.0	6422.0
377	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2013	HERKIMER	54.0	385.0
378	SENIOR NETWORK HEALTH	Partial capitation	JANUARY 1, 2013	ONEIDA	331.0	385.0
380	SENIOR WHOLE HEALTH	Partial capitation	JANUARY 1, 2013	NEW YORK	103.0	103.0
382	TOTAL AGING IN PLACE PROGRAM	Partial capitation	JANUARY 1, 2013	ERIE	129.0	129.0
384	UNITED HEALTHCARE	Partial capitation	JANUARY 1, 2013	NEW YORK	33.0	33.0
386	VILLAGE CARE 	Partial capitation	JANUARY 1, 2013	NEW YORK	1112.0	1112.0
388	VNS CHOICE	Partial capitation	JANUARY 1, 2013	DUTCHESS	11.0	17792.0
389	VNS CHOICE	Partial capitation	JANUARY 1, 2013	NASSAU	213.0	17792.0
390	VNS CHOICE	Partial capitation	JANUARY 1, 2013	NEW YORK	17256.0	17792.0
391	VNS CHOICE	Partial capitation	JANUARY 1, 2013	SUFFOLK	95.0	17792.0
392	VNS CHOICE	Partial capitation	JANUARY 1, 2013	WESTCHESTER	217.0	17792.0
394	WELLCARE	Partial capitation	JANUARY 1, 2013	ERIE	19.0	3796.0
395	WELLCARE	Partial capitation	JANUARY 1, 2013	NEW YORK	3772.0	3796.0
396	WELLCARE	Partial capitation	JANUARY 1, 2013	ORANGE	2.0	3796.0
397	WELLCARE	Partial capitation	JANUARY 1, 2013	ROCKLAND	1.0	3796.0
398	WELLCARE	Partial capitation	JANUARY 1, 2013	ULSTER	2.0	3796.0
415	ARCHCARE SENIOR LIFE	PACE plan	JANUARY 1, 2014	NEW YORK	304.0	304.0
417	CHS BUFFALO LIFE	PACE plan	JANUARY 1, 2014	ERIE	160.0	160.0
419	COMPLETE SENIOR CARE	PACE plan	JANUARY 1, 2014	NIAGARA	91.0	91.0
421	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2014	NASSAU	60.0	3736.0
422	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2014	NEW YORK	3358.0	3736.0
423	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2014	SUFFOLK	92.0	3736.0
424	COMPREHENSIVE CARE MGMT 	PACE plan	JANUARY 1, 2014	WESTCHESTER	226.0	3736.0
426	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2014	ALBANY	4.0	140.0
427	EDDY SENIOR CARE	PACE plan	JANUARY 1, 2014	SCHENECTADY	136.0	140.0
429	INDEPENDENT LIVING FOR SENIORS	PACE plan	JANUARY 1, 2014	MONROE	475.0	475.0
431	PACE CNY	PACE plan	JANUARY 1, 2014	ONONDAGA	444.0	444.0
433	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2014	ALLEGANY	14.0	94.0
434	TOTAL SENIOR CARE	PACE plan	JANUARY 1, 2014	CATTARAUGUS	80.0	94.0
439	AETNA BETTER HEALTH	Partial capitation	JANUARY 1, 2014	NASSAU	249.0	2220.0
440	AETNA BETTER HEALTH	Partial capitation	JANUARY 1, 2014	NEW YORK	1722.0	2220.0
441	AETNA BETTER HEALTH	Partial capitation	JANUARY 1, 2014	SUFFOLK	249.0	2220.0
443	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2014	NASSAU	340.0	2466.0
444	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2014	NEW YORK	1844.0	2466.0
445	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2014	SUFFOLK	119.0	2466.0
446	AGEWELL NEW YORK	Partial capitation	JANUARY 1, 2014	WESTCHESTER	163.0	2466.0
448	ALPHACARE	Partial capitation	JANUARY 1, 2014	NEW YORK	255.0	257.0
449	ALPHACARE	Partial capitation	JANUARY 1, 2014	WESTCHESTER	2.0	257.0
451	AMERIGROUP	Partial capitation	JANUARY 1, 2014	NEW YORK	2857.0	2857.0
453	ARCHCARE COMMUNITY LIFE	Partial capitation	JANUARY 1, 2014	NEW YORK	1341.0	1775.0
454	ARCHCARE COMMUNITY LIFE	Partial capitation	JANUARY 1, 2014	PUTNAM	31.0	1775.0
455	ARCHCARE COMMUNITY LIFE	Partial capitation	JANUARY 1, 2014	WESTCHESTER	403.0	1775.0
457	CCM SELECT	Partial capitation	JANUARY 1, 2014	NASSAU	140.0	10002.0
458	CCM SELECT	Partial capitation	JANUARY 1, 2014	NEW YORK	9125.0	10002.0
459	CCM SELECT	Partial capitation	JANUARY 1, 2014	ROCKLAND	213.0	10002.0
460	CCM SELECT	Partial capitation	JANUARY 1, 2014	SUFFOLK	159.0	10002.0
461	CCM SELECT	Partial capitation	JANUARY 1, 2014	WESTCHESTER	365.0	10002.0
463	CENTERS PLAN FOR HEALTHY LIVING	Partial capitation	JANUARY 1, 2014	ERIE	1.0	1116.0
464	CENTERS PLAN FOR HEALTHY LIVING	Partial capitation	JANUARY 1, 2014	NEW YORK	1095.0	1116.0
465	CENTERS PLAN FOR HEALTHY LIVING	Partial capitation	JANUARY 1, 2014	ROCKLAND	20.0	1116.0
467	ELANT	Partial capitation	JANUARY 1, 2014	DUTCHESS	51.0	464.0
468	ELANT	Partial capitation	JANUARY 1, 2014	ORANGE	229.0	464.0
469	ELANT	Partial capitation	JANUARY 1, 2014	ROCKLAND	184.0	464.0
471	ELDERPLAN	Partial capitation	JANUARY 1, 2014	MONROE	222.0	11025.0
472	ELDERPLAN	Partial capitation	JANUARY 1, 2014	NASSAU	138.0	11025.0
473	ELDERPLAN	Partial capitation	JANUARY 1, 2014	NEW YORK	10273.0	11025.0
474	ELDERPLAN	Partial capitation	JANUARY 1, 2014	ROCKLAND	11.0	11025.0
475	ELDERPLAN	Partial capitation	JANUARY 1, 2014	SUFFOLK	34.0	11025.0
476	ELDERPLAN	Partial capitation	JANUARY 1, 2014	WESTCHESTER	347.0	11025.0
478	ELDERSERVE	Partial capitation	JANUARY 1, 2014	NASSAU	101.0	10277.0
479	ELDERSERVE	Partial capitation	JANUARY 1, 2014	NEW YORK	9917.0	10277.0
480	ELDERSERVE	Partial capitation	JANUARY 1, 2014	SUFFOLK	103.0	10277.0
481	ELDERSERVE	Partial capitation	JANUARY 1, 2014	WESTCHESTER	156.0	10277.0
483	EXTENDED MLTC	Partial capitation	JANUARY 1, 2014	NASSAU	16.0	195.0
484	EXTENDED MLTC	Partial capitation	JANUARY 1, 2014	NEW YORK	176.0	195.0
485	EXTENDED MLTC	Partial capitation	JANUARY 1, 2014	SUFFOLK	3.0	195.0
487	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	ALBANY	37.0	7825.0
488	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	BROOME	14.0	7825.0
489	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	CATTARAUGUS	1.0	7825.0
490	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	CAYUGA	1.0	7825.0
491	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	CHAUTAUQUA	2.0	7825.0
492	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	COLUMBIA	2.0	7825.0
493	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	CORTLAND	1.0	7825.0
494	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	DELAWARE	9.0	7825.0
495	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	DUTCHESS	13.0	7825.0
496	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	ERIE	17.0	7825.0
497	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	ESSEX	2.0	7825.0
498	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	FULTON	10.0	7825.0
499	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	HERKIMER	4.0	7825.0
500	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	LIVINGSTON	5.0	7825.0
501	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	MONROE	17.0	7825.0
502	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	MONTGOMERY	9.0	7825.0
503	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	NASSAU	560.0	7825.0
504	FIDELIS CARE AT HOME	Partial capitation	JANUARY 1, 2014	NEW YORK	5659.0	7825.0
